tipnames	virus.subtype	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon
H5N8.EPI_ISL_977595.Anseriformes.china.1.2020-12-31	H5N8	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965
H5N8.EPI_ISL_7379464.Anseriformes.china.1.2021-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.632278	104.086793
H5N8.EPI_ISL_7623789.Galliformes.belgium.1.2021-07-12	H5N8	Galliformes_domestic	Galliformes	western europe	51.02337	3.62184999999999
H5N8.EPI_ISL_5143995.Anseriformes.germany.1.2021-03-21	H5N8	Anseriformes_domestic	Anseriformes	western europe	51.80211	11.0531599999999
H5N8.EPI_ISL_5115614.Galliformes.germany.1.2021-02-26	H5N8	Galliformes_domestic	Galliformes	western europe	52.5234051	13.4113999
H5N8.EPI_ISL_5143417.Galliformes.germany.1.2021-03-10	H5N8	Galliformes_domestic	Galliformes	western europe	52.408418	12.562492
H5N8.EPI_ISL_5115968.Galliformes.germany.1.2021-03-04	H5N8	Galliformes_domestic	Galliformes	western europe	52.408418	12.562492
H5N8.EPI_ISL_1009707.NA.south_korea.1.2020-12-14	H5N8	unknown	NA	eastern asia	36.8	127.7
H5N8.EPI_ISL_2713314.Charadriiformes.china.1.2020-11-16	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	30.9894798	112.8721355
H5N8.EPI_ISL_2555542.Anseriformes.china.1.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355
H5N8.EPI_ISL_15613492.Anseriformes.japan.NA.2021-01-24	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.9076736	131.4202411
H5N8.EPI_ISL_15613493.Anseriformes.japan.NA.2021-01-24	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.9076736	131.4202411
H5N8.EPI_ISL_5260417.Charadriiformes.china.1.2021-05-16	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	31.2255567	121.4802765
H5N8.EPI_ISL_16209048.Anseriformes.cambodia.81.2021-09-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	12.565679	104.990963
H5N8.EPI_ISL_13295077.Anseriformes.cambodia.81.2021-09-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	11.558831	104.917445
H5N8.EPI_ISL_13295139.Anseriformes.cambodia.81.2021-09-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	11.558831	104.917445
H5N8.EPI_ISL_17760581.Anseriformes.cambodia.81.2021-09-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	12.565679	104.990963
H5N8.EPI_ISL_13295170.Anseriformes.cambodia.81.2021-11-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	10.9833333	104.7833333
H5N8.EPI_ISL_17760584.Anseriformes.cambodia.81.2021-11-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	12.565679	104.990963
H5N8.EPI_ISL_13295169.Anseriformes.cambodia.81.2021-10-15	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	54.3267888	-2.74757769999997
H5N8.EPI_ISL_17760583.Anseriformes.cambodia.81.2021-10-15	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	12.565679	104.990963
H5N8.EPI_ISL_14836025.Anseriformes.china.1.2020-11-14	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N8.EPI_ISL_8215654.Anseriformes.china.NA.2021-05-15	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2255567	121.4802765
H5N8.EPI_ISL_14822549.Anseriformes.china.1.2021-05-18	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2255567	121.4802765
H5N8.EPI_ISL_14836098.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N8.EPI_ISL_14823863.Anseriformes.china.NA.2020-11-09	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N8.EPI_ISL_14822357.Anseriformes.china.1.2021-03-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827
H5N6.EPI_ISL_11208195.Anseriformes.china.73.2021-12-02	H5N6	Anseriformes_wild	Anseriformes	eastern asia	26.424084	106.673534
H5N8.EPI_ISL_1009688.Galliformes.south_korea.1.2021-01-01	H5N8	Galliformes_domestic	Galliformes	eastern asia	34.8679	126.991
H5N8.EPI_ISL_china_2.Galliformes.china.1.2021-05-31	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.844419	117.254331
H5N8.EPI_ISL_china_5.Galliformes.china.1.2021-06-26	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.844419	117.254331
H5N2.EPI_ISL_china_10.Anseriformes.china.101.2022-01-26	H5N2	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643
H5N2.EPI_ISL_china_8.Anseriformes.china.101.2021-12-29	H5N2	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643
H5N8.EPI_ISL_1081353.Anseriformes.japan.1.2021-02-14	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.3813638	139.7303175
H5N8.EPI_ISL_978916.Anseriformes.japan.1.2021-02-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.2869206	140.4245143
H5N8.EPI_ISL_978895.Galliformes.japan.1.2021-02-05	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907
H5N8.EPI_ISL_1009698.Anseriformes.south_korea.1.2020-11-25	H5N8	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868
H5N8.EPI_ISL_5260467.Podicipediformes.china.1.2021-06-05	H5N8	Podicipediformes_wild	Podicipediformes	eastern asia	34.223126	108.95546
H5N8.EPI_ISL_5260468.Podicipediformes.china.1.2021-06-15	H5N8	Podicipediformes_wild	Podicipediformes	eastern asia	31.2313805	121.4137827
H5N8.EPI_ISL_17086355.environment.japan.NA.2021-02-14	H5N8	unknown	environment	eastern asia	36.6485496	138.1942432
H5N8.EPI_ISL_17086347.Anseriformes.japan.NA.2021-02-04	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.6072668	140.1062907
H5N8.EPI_ISL_1009711.Anseriformes.south_korea.1.2021-01-06	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991
H5N8.EPI_ISL_14835963.Anseriformes.china.1.2020-11-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925
H5N8.EPI_ISL_7381183.Anseriformes.china.279.2021-04	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933
H5N6.EPI_ISL_18058055.Anseriformes.china.NA.2021-05-01	H5N6	Anseriformes_wild	Anseriformes	eastern asia	30.632278	104.086793
H5N8.EPI_ISL_1939617.Strigiformes.china.1.2020-11-11	H5N8	Strigiformes_wild	Strigiformes	eastern asia	32.1277675	114.0791925
H5N8.EPI_ISL_1114725.Anseriformes.japan.1.2021-01-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.5965535	130.5571158
H5N8.EPI_ISL_5260418.Anseriformes.china.1.2021-01-25	H5N8	Anseriformes_wild	Anseriformes	eastern asia	39.904214	116.407413
H5N8.EPI_ISL_5260426.Anseriformes.china.1.2021-05-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	22.826617	108.344126
H5N8.EPI_ISL_11504587.Galliformes.viet_nam.205.2021-12-01	H5N8	Galliformes_domestic	Galliformes	south-eastern asia	21.8477778	106.7577778
H5N6.EPI_ISL_11208194.Anseriformes.china.213.2021-10-18	H5N6	Anseriformes_wild	Anseriformes	eastern asia	22.826617	108.344126
H5N6.EPI_ISL_11208193.Anseriformes.china.213.2021-10-19	H5N6	Anseriformes_wild	Anseriformes	eastern asia	22.826617	108.344126
H5N8.EPI_ISL_7381448.Galliformes.china.205.2021-07	H5N8	Galliformes_domestic	Galliformes	eastern asia	22.826617	108.344126
H5N6.EPI_ISL_6760686.Galliformes.china.291.2021-06	H5N6	Galliformes_domestic	Galliformes	eastern asia	38.3905141	114.8555706
H5N6.EPI_ISL_6772738.Galliformes.china.127.2021-08	H5N6	Galliformes_domestic	Galliformes	eastern asia	23.2600355	113.25139
H5N6.EPI_ISL_6772759.Galliformes.china.127.2021-08	H5N6	Galliformes_domestic	Galliformes	eastern asia	23.2600355	113.25139
H5N6.EPI_ISL_3770740.Primates.china.73.2021-07-14	H5N6	Primates_wild	Primates	eastern asia	22.826617	108.344126
H5N6.EPI_ISL_8517998.environment.china.73.2021-12-23	H5N6	unknown	environment	eastern asia	29.9488786	121.1430935
H5N6.EPI_ISL_18000337.NA.china.NA.2022-02-27	H5N6	unknown	NA	eastern asia	29.1557051	113.7157613
H5N8.EPI_ISL_5260444.Anseriformes.china.1.2021-03-09	H5N8	Anseriformes_wild	Anseriformes	eastern asia	29.1557051	113.7157613
H5N8.EPI_ISL_1041120.Anseriformes.japan.1.2021-01-23	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.6072668	140.1062907
H5N8.EPI_ISL_1041130.Galliformes.japan.1.2021-02-10	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907
H5N8.EPI_ISL_17086338.Anseriformes.japan.NA.2021-01-21	H5N8	Anseriformes_domestic	Anseriformes	eastern asia	35.6072668	140.1062907
H5N8.EPI_ISL_17086352.Galliformes.japan.NA.2021-02-15	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907
H5N8.EPI_ISL_978914.Anseriformes.japan.1.2021-01-23	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.6072668	140.1062907
H5N8.EPI_ISL_5260448.Anseriformes.china.1.2021-03-19	H5N8	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643
H5N6.EPI_ISL_6760682.Galliformes.china.61.2021-07	H5N6	Galliformes_domestic	Galliformes	eastern asia	30.632278	104.086793
H5N6.EPI_ISL_6760685.Anseriformes.china.61.2021-07	H5N6	Anseriformes_wild	Anseriformes	eastern asia	30.632278	104.086793
H5N8.EPI_ISL_5260466.Podicipediformes.china.1.2021-02-22	H5N8	Podicipediformes_wild	Podicipediformes	eastern asia	36.674306	117.059933
H5N8.EPI_ISL_985207.Galliformes.south_korea.1.2020-12-25	H5N8	Galliformes_domestic	Galliformes	eastern asia	36.4919	128.8889
