tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_5058432.anseriformes.germany.1.2020-11-02	H5N8	2020-11-02	2020.84	2020-11-01	western europe	germany	deu	51.0533277435649	10.373650933319	schleswig-holstein	de.sh	54.1814850326718	9.81577342948134	Europe / Germany / Schleswig-Holstein / Nordfriesland / NA	2020-11-02	profile001	anseriformes	9.81577342948134	54.1814850326718
H5N8.2344b.EPI_ISL_5143995.anseriformes.germany.1.2021-03-21	H5N8	2021-03-21	2021.22	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	sachsen-anhalt	de.st	52.0090264158216	11.7027467770331	Europe / Germany / Saxony-Anhalt / Saalekreis / NA	2021-03-21	profile001	anseriformes	11.7027467770331	52.0090264158216
H5N8.2344b.EPI_ISL_644824.anseriformes.denmark.1.2020-11-04	H5N8	2020-11-04	2020.84	2020-11-01	northern europe	denmark	dnk	55.9512996898935	10.0707816763207	syddanmark	dk.sd	55.3568797999445	9.45020901930698	Europe / Denmark / Region Syddanmark / Tonder Kommune / NA	2020-11-04	profile001	anseriformes	9.45020901930698	55.3568797999445
H5N8.2344b.EPI_ISL_2234812.anseriformes.france.1.2021-01-27	H5N8	2021-01-27	2021.07	2021-01-01	western europe	france	fra	46.5103009447381	2.5780749353201	auvergne-rhône-alpes	fr.ar	45.5190780558984	4.54715006428513	Europe / Spain / NA / NA / NA	2021-01-27	profile001	anseriformes	4.54715006428513	45.5190780558984
H5N8.2344b.EPI_ISL_1123357.anseriformes.united_kingdom.1.2020-11-08	H5N8	2020-11-08	2020.85	2020-11-01	northern europe	united kingdom	gbr	54.0438440515314	-2.78687513666638	NA	NA	NA	NA	Europe / United Kingdom / Lincolnshire / NA / NA	2020-11-08	profile001	anseriformes	-2.78687513666638	54.0438440515314
H5N8.2344b.EPI_ISL_1279262.anseriformes.croatia.1.2021-03-01	H5N8	2021-03-01	2021.16	2021-03-01	southern europe	croatia	hrv	45.0210446789036	16.3887129948206	vukovarsko-srijemska	hr.vs	45.1789051758503	18.8780624838969	Europe / Croatia / Vukovarsko-Srijemska Zupanija / River Bosut, PodgraÄ‘e / NA	2021-03-01	profile001	anseriformes	18.8780624838969	45.1789051758503
H5N8.2344b.EPI_ISL_2932619.anseriformes.kazakhstan.1.2020-09-23	H5N8	2020-09-23	2020.73	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	aqmola	kz.am	51.7623557428944	69.9739209295215	Asia / Kazakhstan / Akmola / Birzhan sal district, Baymyrza, Shoshkaly lake / NA	2020-09-23	profile001	anseriformes	69.9739209295215	51.7623557428944
H5N8.2344b.EPI_ISL_2932612.anseriformes.kazakhstan.1.2020-09-22	H5N8	2020-09-22	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Ayyrtausky district, Arykbalyk, Agymtai batyr village / NA	2020-09-22	profile001	anseriformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_615072.anseriformes.kazakhstan.1.2020-09-25	H5N8	2020-09-25	2020.73	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	qostanay	kz.qs	51.5322283786231	64.0853293002361	Asia / Kazakhstan / Kostanay / NA / NA	2020-09-25	profile001	anseriformes	64.0853293002361	51.5322283786231
H5N8.2344b.EPI_ISL_1719909.anseriformes.lithuania.1.2021-02-26	H5N8	2021-02-26	2021.15	2021-02-01	northern europe	lithuania	ltu	55.332528278146	23.9147651507013	vilniaus	lt.vi	54.8294557942269	25.2490386107757	Europe / Lithuania / Vilnius / NA / NA	2021-02-26	profile001	anseriformes	25.2490386107757	54.8294557942269
H5N8.2344b.EPI_ISL_7622619.anseriformes.belgium.1.2020-12-03	H5N8	2020-12-03	2020.92	2020-12-01	western europe	belgium	bel	50.64017310615	4.66939027974939	vlaanderen	na	51.0391095671615	4.2420548599892	Europe / Belgium / Provincie West-Vlaanderen / Brugge and Zwin / NA	2020-12-03	profile001	anseriformes	4.2420548599892	51.0391095671615
H5N8.2344b.EPI_ISL_1139016.anseriformes.netherlands.1.2020-10-27	H5N8	2020-10-27	2020.82	2020-10-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	fryslân	nl.fr	53.1100430768808	5.84863928632393	Europe / Netherlands / Provincie Friesland / Aldeboarn / NA	2020-10-27	profile001	anseriformes	5.84863928632393	53.1100430768808
H5N8.2344b.EPI_ISL_2172533.anseriformes.netherlands.1.2021-03-04	H5N8	2021-03-04	2021.17	2021-03-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	gelderland	nl.ge	52.0617180422494	5.94466833784019	Europe / Netherlands / Provincie Groningen / Leek / NA	2021-03-04	profile001	anseriformes	5.94466833784019	52.0617180422494
H5N8.2344b.EPI_ISL_1139090.anseriformes.netherlands.1.2020-11-12	H5N8	2020-11-12	2020.86	2020-11-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	noord-brabant	nl.nb	51.5616727876811	5.19541346074046	Europe / Netherlands / North Brabant / Oudgastel / NA	2020-11-12	profile001	anseriformes	5.19541346074046	51.5616727876811
H5N8.2344b.EPI_ISL_1139029.anseriformes.netherlands.1.2020-11-03	H5N8	2020-11-03	2020.84	2020-11-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	noord-holland	nl.nh	52.5811544669078	4.87272777813315	Europe / Netherlands / Provincie Noord-Holland / Gemeente Landsmeer / NA	2020-11-03	profile001	anseriformes	4.87272777813315	52.5811544669078
H5N8.2344b.EPI_ISL_603136.anseriformes.netherlands.1.2020-10-16	H5N8	2020-10-16	2020.79	2020-10-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	NA	NA	NA	NA	Europe / Netherlands / NA / NA / NA	2020-10-16	profile001	anseriformes	5.56251311224367	52.2573048104135
H5N8.2344b.EPI_ISL_654839.anseriformes.russia.1.2020-08-27	H5N8	2020-08-27	2020.65	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	kurgan	ru.ku	55.4734051858522	64.8219230597649	Europe / Russia / Kurgan region / NA / NA	2020-08-27	profile001	anseriformes	64.8219230597649	55.4734051858522
H5N8.2344b.EPI_ISL_1240998.anseriformes.russia.1.2020-08-29	H5N8	2020-08-29	2020.66	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	novosibirsk	ru.ns	55.2762232202593	79.7845914423443	Europe / Russia / Novosibirsk / NA / NA	2020-08-29	profile001	anseriformes	79.7845914423443	55.2762232202593
H5N8.2344b.EPI_ISL_644127.anseriformes.russia.1.2020-08-17	H5N8	2020-08-17	2020.63	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	omsk	ru.om	56.0596108837778	73.3669499849514	Europe / Russia / Omsk Oblast / Omsk / NA	2020-08-17	profile001	anseriformes	73.3669499849514	56.0596108837778
H5N8.2344b.EPI_ISL_654824.anseriformes.russia.1.2020-09-15	H5N8	2020-09-15	2020.7	2020-09-01	eastern europe	russia	rus	66.0376616061812	95.7970903417469	saratov	ru.sr	51.5994582882348	46.8369479833559	Europe / Russia / Saratov Oblast / Saratov / NA	2020-09-15	profile001	anseriformes	46.8369479833559	51.5994582882348
H5N8.2344b.EPI_ISL_3298300.anseriformes.sweden.1.2021-03-03	H5N8	2021-03-03	2021.17	2021-03-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	halland	se.ha	56.9527544067021	12.8455535105187	Europe / Sweden / Hallands Lan / Varbergs Kommun / NA	2021-03-03	profile001	anseriformes	12.8455535105187	56.9527544067021
H5N8.2344b.EPI_ISL_3138618.anseriformes.sweden.1.2021-04-15	H5N8	2021-04-15	2021.28	2021-04-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	dalarna	se.ko	60.9480775654018	14.3747945686103	Europe / Sweden / Dalarnas Lan / Borlange Kommun / NA	2021-04-15	profile001	anseriformes	14.3747945686103	60.9480775654018
H5N8.2344b.EPI_ISL_1307703.anseriformes.sweden.1.2021-02-21	H5N8	2021-02-21	2021.14	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	skåne	se.sn	55.9474024317265	13.595146733816	Europe / Sweden / Skane Lan / Klippans Kommun / NA	2021-02-21	profile001	anseriformes	13.595146733816	55.9474024317265
H5N8.2344b.EPI_ISL_1307695.anseriformes.sweden.1.2021-03-03	H5N8	2021-03-03	2021.17	2021-03-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	västra götaland	se.vg	58.2955067014075	12.8595382920252	Europe / Sweden / Vastra Gotalands Lan / Ockero Kommun / NA	2021-03-03	profile001	anseriformes	12.8595382920252	58.2955067014075
H5N8.2344b.EPI_ISL_5863359.anseriformes.united_states.1.2020-10-27	H5N8	2020-10-27	2020.82	2020-10-01	northern america	united states	usa	44.75294654392	-103.651025114044	georgia	us.ga	32.6403385373358	-83.4405725551842	Asia / Georgia / NA / NA / NA	2020-10-27	profile001	anseriformes	-83.4405725551842	32.6403385373358
H5N1.2344b.EPI_ISL_13370512.anseriformes.united_kingdom.5.2021-12-03	H5N1	2021-12-03	2021.92	2021-12-01	northern europe	united kingdom	gbr	54.0438440515314	-2.78687513666638	NA	NA	NA	NA	Europe / United Kingdom / Northern Ireland / NA / NA	2021-12-03	profile001	anseriformes	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_683592.anseriformes.italy.5.2020-11-21	H5N1	2020-11-21	2020.89	2020-11-01	southern europe	italy	ita	42.7080607219025	12.208345049127	veneto	na	45.6595758067318	11.8428083995249	Europe / Italy / Veneto / Province of Venice / Jesolo	2020-11-21	profile001	anseriformes	11.8428083995249	45.6595758067318
H5N5.2344b.EPI_ISL_1308010.anseriformes.sweden.36.2021-02-26	H5N5	2021-02-26	2021.15	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	kalmar	se.ka	57.1855292476939	16.1305148015024	Europe / Sweden / Kalmar Lan / Monsteras Kommun / NA	2021-02-26	profile001	anseriformes	16.1305148015024	57.1855292476939
H5N5.2344b.EPI_ISL_3294584.anseriformes.sweden.36.2021-03-30	H5N5	2021-03-30	2021.24	2021-03-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	södermanland	se.sd	59.0743595934023	16.6929745153277	Europe / Sweden / Sodermanlands Lan / Oxelosunds Kummun / NA	2021-03-30	profile001	anseriformes	16.6929745153277	59.0743595934023
H5N5.2344b.EPI_ISL_722176.anseriformes.sweden.36.2020-11-25	H5N5	2020-11-25	2020.9	2020-11-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	skåne	se.sn	55.9474024317265	13.595146733816	Europe / Sweden / Skane Lan / Staffanstorps Kommun / NA	2020-11-25	profile001	anseriformes	13.595146733816	55.9474024317265
H5N5.2344b.EPI_ISL_2234824.anseriformes.italy.44.2021-01-22	H5N5	2021-01-22	2021.06	2021-01-01	southern europe	italy	ita	42.7080607219025	12.208345049127	lazio	na	41.979336323661	12.7721450906831	Europe / Romania / NA / NA / NA	2021-01-22	profile001	anseriformes	12.7721450906831	41.979336323661
H5N5.2344b.EPI_ISL_1665262.anseriformes.slovakia.44.2021-01-15	H5N5	2021-01-15	2021.04	2021-01-01	eastern europe	slovakia	svk	48.7152910172137	19.4731651408513	bratislavský	sk.bl	48.3180982690165	17.1756481471461	Europe / Slovakia / Petrzalka / NA / NA	2021-01-15	profile001	anseriformes	17.1756481471461	48.3180982690165
H5N8.2344b.EPI_ISL_1307716.anseriformes.sweden.168.2021-03-02	H5N8	2021-03-02	2021.16	2021-03-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	stockholm	se.st	59.4623673036598	18.1712252623315	Europe / Sweden / Stockholms Lan / Sodertalje Kommun / NA	2021-03-02	profile001	anseriformes	18.1712252623315	59.4623673036598
H5N5.2344b.EPI_ISL_1123358.anseriformes.united_kingdom.277.2020-11-12	H5N5	2020-11-12	2020.86	2020-11-01	northern europe	united kingdom	gbr	54.0438440515314	-2.78687513666638	NA	NA	NA	NA	Europe / United Kingdom / Northumberland / NA / NA	2020-11-12	profile001	anseriformes	-2.78687513666638	54.0438440515314
H5N2.2344b.EPI_ISL_1005680.anseriformes.russia.284.2020-08-29	H5N2	2020-08-29	2020.66	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	novosibirsk	ru.ns	55.2762232202593	79.7845914423443	Europe / Russia / Novosibirsk / NA / NA	2020-08-29	profile001	anseriformes	79.7845914423443	55.2762232202593
H5N8.NA.EPI_ISL_17767120.anseriformes.china.NA.2020-11-12	H5N8	2020-11-12	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	NA	2020-11-12	profile001	anseriformes	112.277189482252	30.9806813015582
H5N8.NA.EPI_ISL_15433349.anseriformes.china.NA.2021-01-21	H5N8	2021-01-21	2021.05	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	yunnan	cn.yn	24.9645779206387	101.495556215566	NA	2021-01-21	profile001	anseriformes	101.495556215566	24.9645779206387
H5N8.NA.EPI_ISL_5058262.anseriformes.germany.NA.2020-11-02	H5N8	2020-11-02	2020.84	2020-11-01	western europe	germany	deu	51.0533277435649	10.373650933319	schleswig-holstein	de.sh	54.1814850326718	9.81577342948134	NA	2020-11-02	profile001	anseriformes	9.81577342948134	54.1814850326718
H5N8.NA.EPI_ISL_1279936.anseriformes.croatia.NA.2021-03-08	H5N8	2021-03-08	2021.18	2021-03-01	southern europe	croatia	hrv	45.0210446789036	16.3887129948206	NA	NA	NA	NA	NA	2021-03-08	profile001	anseriformes	16.3887129948206	45.0210446789036
NA.NA.EPI_ISL_2318900.anseriformes.sweden.NA.2021-03-23	NA	2021-03-23	2021.22	2021-03-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	NA	NA	NA	NA	NA	2021-03-23	profile001	anseriformes	16.2835241791686	62.374013544985
H5N8.2344b.EPI_ISL_2932682.columbiformes.kazakhstan.1.2020-09-15	H5N8	2020-09-15	2020.7	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Petropavlovsk city / NA	2020-09-15	profile001	columbiformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_2932617.passeriformes.kazakhstan.1.2020-09-15	H5N8	2020-09-15	2020.7	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Petropavlovsk city / NA	2020-09-15	profile001	passeriformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_5098135.falconiformes.germany.1.2020-12-21	H5N8	2020-12-21	2020.97	2020-12-01	western europe	germany	deu	51.0533277435649	10.373650933319	niedersachsen	de.ni	52.7642105761026	9.16783937293005	Europe / Germany / Lower Saxony / Friesland / NA	2020-12-21	profile001	falconiformes	9.16783937293005	52.7642105761026
H5N3.2344b.EPI_ISL_2234831.falconiformes.united_kingdom.64.2021-01-25	H5N3	2021-01-25	2021.07	2021-01-01	northern europe	united kingdom	gbr	54.0438440515314	-2.78687513666638	NA	NA	NA	NA	Europe / United Kingdom / NA / NA / NA	2021-01-25	profile001	falconiformes	-2.78687513666638	54.0438440515314
H5N8.NA.EPI_ISL_1307721.falconiformes.sweden.NA.2021-02-19	H5N8	2021-02-19	2021.13	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	NA	NA	NA	NA	NA	2021-02-19	profile001	falconiformes	16.2835241791686	62.374013544985
H5N1.2344b.EPI_ISL_5145744.charadriiformes.germany.5.2021-07-17	H5N1	2021-07-17	2021.54	2021-07-01	western europe	germany	deu	51.0533277435649	10.373650933319	niedersachsen	de.ni	52.7642105761026	9.16783937293005	Europe / Germany / Lower Saxony / Aurich / NA	2021-07-17	profile001	charadriiformes	9.16783937293005	52.7642105761026
H5N8.2344b.EPI_ISL_5062851.charadriiformes.germany.1.2020-11-02	H5N8	2020-11-02	2020.84	2020-11-01	western europe	germany	deu	51.0533277435649	10.373650933319	mecklenburg-vorpommern	de.mv	53.7551744161606	12.5509509363277	Europe / Germany / Mecklenburg-Vorpommern / Vorpommern-RÃ¼gen / NA	2020-11-02	profile001	charadriiformes	12.5509509363277	53.7551744161606
H5N8.2344b.EPI_ISL_1093426.charadriiformes.sweden.1.2021-02-07	H5N8	2021-02-07	2021.1	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	skåne	se.sn	55.9474024317265	13.595146733816	Europe / Sweden / Skane Lan / Malmo Kommun / NA	2021-02-07	profile001	charadriiformes	13.595146733816	55.9474024317265
H5N5.2344b.EPI_ISL_16209274.pelecaniformes.russia.44.2021-04-01	H5N5	2021-04-01	2021.25	2021-04-01	eastern europe	russia	rus	66.0376616061812	95.7970903417469	dagestan	ru.da	43.0199724243525	46.8879064209307	Europe / Russia / Republic of Dagestan / NA / NA	2021-04-01	profile001	pelecaniformes	46.8879064209307	43.0199724243525
H5N8.2344b.EPI_ISL_1139018.suliformes.netherlands.1.2020-10-28	H5N8	2020-10-28	2020.82	2020-10-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	noord-holland	nl.nh	52.5811544669078	4.87272777813315	Europe / Netherlands / Provincie Noord-Holland / Edam-Volendam / NA	2020-10-28	profile001	suliformes	4.87272777813315	52.5811544669078
H5N8.2344b.EPI_ISL_3128533.galliformes.albania.1.2021-05-31	H5N8	2021-05-31	2021.41	2021-05-01	southern europe	albania	alb	41.1330587421492	20.0646630993931	NA	NA	NA	NA	Europe / Albania / NA / NA / NA	2021-05-31	profile001	galliformes	20.0646630993931	41.1330587421492
H5N8.2344b.EPI_ISL_1719913.galliformes.bulgaria.1.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern europe	bulgaria	bgr	42.7584172195881	25.2179149681535	pleven	bg.pv	43.4863324718956	24.6106292568625	Europe / Bulgaria / Slavyanovo / NA / NA	2021-02-01	profile001	galliformes	24.6106292568625	43.4863324718956
H5N8.2344b.EPI_ISL_5115614.galliformes.germany.1.2021-02-26	H5N8	2021-02-26	2021.15	2021-02-01	western europe	germany	deu	51.0533277435649	10.373650933319	berlin	de.be	52.5015246825321	13.4019638192194	Europe / Germany / Berlin / Berlin,Stadt / NA	2021-02-26	profile001	galliformes	13.4019638192194	52.5015246825321
H5N8.2344b.EPI_ISL_5115618.galliformes.germany.1.2021-03-04	H5N8	2021-03-04	2021.17	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	brandenburg	de.br	52.4686720071996	13.4043192497063	Europe / Germany / Brandenburg / MÃ¤rkisch-Oderland / NA	2021-03-04	profile001	galliformes	13.4043192497063	52.4686720071996
H5N8.2344b.EPI_ISL_5099462.galliformes.germany.1.2021-02-24	H5N8	2021-02-24	2021.15	2021-02-01	western europe	germany	deu	51.0533277435649	10.373650933319	bayern	de.by	48.9386109033625	11.4278546586472	Europe / Germany / Bavaria / WÃ¼rzburg / NA	2021-02-24	profile001	galliformes	11.4278546586472	48.9386109033625
H5N8.2344b.EPI_ISL_5095645.galliformes.germany.1.2021-01-26	H5N8	2021-01-26	2021.07	2021-01-01	western europe	germany	deu	51.0533277435649	10.373650933319	mecklenburg-vorpommern	de.mv	53.7551744161606	12.5509509363277	Europe / Germany / Mecklenburg-Vorpommern / Nordwestmecklenburg / NA	2021-01-26	profile001	galliformes	12.5509509363277	53.7551744161606
H5N8.2344b.EPI_ISL_5142894.galliformes.germany.1.2021-03-10	H5N8	2021-03-10	2021.19	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	niedersachsen	de.ni	52.7642105761026	9.16783937293005	Europe / Germany / Lower Saxony / Wesermarsch / NA	2021-03-10	profile001	galliformes	9.16783937293005	52.7642105761026
H5N8.2344b.EPI_ISL_5142488.galliformes.germany.1.2021-03-16	H5N8	2021-03-16	2021.2	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	sachsen-anhalt	de.st	52.0090264158216	11.7027467770331	Europe / Germany / Saxony-Anhalt / Altmarkkreis Salzwedel / NA	2021-03-16	profile001	galliformes	11.7027467770331	52.0090264158216
H5N8.2344b.EPI_ISL_1123350.galliformes.united_kingdom.1.2020-12-17	H5N8	2020-12-17	2020.96	2020-12-01	northern europe	united kingdom	gbr	54.0438440515314	-2.78687513666638	NA	NA	NA	NA	Europe / United Kingdom / Dorset / England / NA	2020-12-17	profile001	galliformes	-2.78687513666638	54.0438440515314
H5N8.2344b.EPI_ISL_739686.galliformes.kazakhstan.1.2020-09-18	H5N8	2020-09-18	2020.71	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / NA / NA	2020-09-18	profile001	galliformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_1114741.galliformes.italy.1.2020-10-17	H5N8	2020-10-17	2020.79	2020-10-01	southern europe	italy	ita	42.7080607219025	12.208345049127	lazio	na	41.979336323661	12.7721450906831	Europe / Russia / Kostroma Oblast / Kostroma / NA	2020-10-17	profile001	galliformes	12.7721450906831	41.979336323661
H5N8.2344b.EPI_ISL_4061490.galliformes.nigeria.1.2021-02-25	H5N8	2021-02-25	2021.15	2021-02-01	western africa	nigeria	nga	9.58907159716497	8.08769036750384	NA	NA	NA	NA	Africa / Nigeria / NA / NA / NA	2021-02-25	profile001	galliformes	8.08769036750384	9.58907159716497
H5N8.2344b.EPI_ISL_641394.galliformes.netherlands.1.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	fryslân	nl.fr	53.1100430768808	5.84863928632393	Europe / Netherlands / Provincie Friesland / Wons / NA	2020-11-10	profile001	galliformes	5.84863928632393	53.1100430768808
