tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N1.NA.EPI_ISL_18257883.charadriiformes.sweden.NA.2023-06-16,H5N1,EPI_ISL_18257883,A/black-headed_gull/Sweden/SVA230621SZ0030/FB002056/H-2023/NA,2023-06-16,2023.45,2023-06,charadriiformes_wild,charadriiformes,Laridae,chroicocephalus ridibundus,black-headed gull,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2023-24,3862,2.3.4.4b,NA,NA,NA,NA,2023-06-16,mp,mp,profile001
H5N1.NA.EPI_ISL_18255419.anseriformes.sweden.NA.2023-06-26,H5N1,EPI_ISL_18255419,A/common_guillemot/Sweden/SVA230627SZ0006/FB002112/I-2023/NA,2023-06-26,2023.48,2023-06,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2023-26,3862,2.3.4.4b,NA,NA,NA,NA,2023-06-26,mp,mp,profile001
H5N1.NA.EPI_ISL_18255416.charadriiformes.sweden.NA.2023-07-20,H5N1,EPI_ISL_18255416,A/Lesser_auk/Sweden/SVA230720SZ0315/FB002445/I-2023/NA,2023-07-20,2023.55,2023-07,charadriiformes_wild,charadriiformes,Alcidae,alca torda,razorbill,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2023-29,3862,2.3.4.4b,NA,NA,NA,NA,2023-07-20,mp,mp,profile001
H5N1.NA.EPI_ISL_18255405.anseriformes.sweden.NA.2023-07-20,H5N1,EPI_ISL_18255405,A/common_tern/Sweden/SVA230720SZ0277/FB002468/I-2023/NA,2023-07-20,2023.55,2023-07,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2023-29,3862,2.3.4.4b,NA,NA,NA,NA,2023-07-20,mp,mp,profile001
H5N1.NA.EPI_ISL_18255396.anseriformes.sweden.NA.2023-07-20,H5N1,EPI_ISL_18255396,A/common_guillemot/Sweden/SVA230720SZ0277/FB002470/I-2023/NA,2023-07-20,2023.55,2023-07,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2023-29,3862,2.3.4.4b,NA,NA,NA,NA,2023-07-20,mp,mp,profile001
H5N1.NA.EPI_ISL_18255393.anseriformes.sweden.NA.2023-07-20,H5N1,EPI_ISL_18255393,A/common_guillemot/Sweden/SVA230720SZ0277/FB002472/I-2023/NA,2023-07-20,2023.55,2023-07,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2023-29,3862,2.3.4.4b,NA,NA,NA,NA,2023-07-20,mp,mp,profile001
H5N1.NA.EPI_ISL_18255288.falconiformes.sweden.NA.2023-07-20,H5N1,EPI_ISL_18255288,A/peregrine_falcon/Sweden/SVA230808SZ0403/FB002649/E-2023/NA,2023-07-20,2023.55,2023-07,falconiformes_wild,falconiformes,Falconidae,falco peregrinus,peregrine falcon,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2023-29,3862,2.3.4.4b,NA,NA,NA,NA,2023-07-20,mp,mp,profile001
H5N1.NA.EPI_ISL_18209369.galliformes.united_kingdom.NA.2023-08-07,H5N1,EPI_ISL_18209369,A/chicken/Scotland/103890/2023,2023-08-07,2023.6,2023-08,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,scotland,na,56.7931587491509,-4.20419908814114,A,2023-32,967,2.3.4.4b,NA,NA,NA,NA,2023-08-07,mp,mp,profile001
H5N1.NA.EPI_ISL_18209368.galliformes.united_kingdom.NA.2023-08-13,H5N1,EPI_ISL_18209368,A/pheasant/Scotland/106285/2023,2023-08-13,2023.61,2023-08,galliformes_wild,galliformes,Phasianidae,phasianidae sp. (pheasant sp.),pheasant sp.,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,scotland,na,56.7931587491509,-4.20419908814114,A,2023-32,967,2.3.4.4b,NA,NA,NA,NA,2023-08-13,mp,mp,profile001
H5N1.NA.EPI_ISL_18209367.galliformes.united_kingdom.NA.2023-08-13,H5N1,EPI_ISL_18209367,A/pheasant/Scotland/106271/2023,2023-08-13,2023.61,2023-08,galliformes_wild,galliformes,Phasianidae,phasianidae sp. (pheasant sp.),pheasant sp.,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,scotland,na,56.7931587491509,-4.20419908814114,A,2023-32,967,2.3.4.4b,NA,NA,NA,NA,2023-08-13,mp,mp,profile001
