tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H10N5.NA.EPI_ISL_502604.anseriformes.belgium.NA.2016-12-16,H10N5,EPI_ISL_502604,A/Anas_platyrhynchos/Belgium/1H189445/2016,2016-12-16,2016.96,2016-12,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,belgium,bel,50.64017310615,4.66939027974939,NA,NA,NA,NA,A,2016-50,3672,NA,NA,NA,NA,NA,2016-12-16,n5,n5,profileNA
H10N5.NA.EPI_ISL_502609.anseriformes.belgium.NA.2017-01-10,H10N5,EPI_ISL_502609,A/Anas_platyrhynchos/Belgium/398_H189467/2017,2017-01-10,2017.02,2017-01,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,belgium,bel,50.64017310615,4.66939027974939,NA,NA,NA,NA,A,2017-02,3672,NA,NA,NA,NA,NA,2017-01-10,n5,n5,profileNA
H7N5.NA.EPI_ISL_502610.anseriformes.belgium.NA.2017-01-13,H7N5,EPI_ISL_502610,A/Anas_platyrhynchos/Belgium/467_H191864/2017,2017-01-13,2017.03,2017-01,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,belgium,bel,50.64017310615,4.66939027974939,NA,NA,NA,NA,A,2017-02,3672,NA,NA,NA,NA,NA,2017-01-13,n5,n5,profileNA
H2N5.NA.EPI_ISL_397752.charadriiformes.united_states.NA.2017-12-09,H2N5,EPI_ISL_397752,A/ruddy_turnstone/South_Carolina/UGAI17-4979/2017,2017-12-09,2017.94,2017-12,charadriiformes_wild,charadriiformes,Scolopacidae,arenaria interpres,ruddy turnstone,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,south carolina,us.sc,33.9148641047898,-80.8916569950667,A,2017-49,3443,NA,NA,NA,NA,NA,2017-12-09,n5,n5,profileNA
H6N5.NA.EPI_ISL_30812.anseriformes.netherlands.NA.2007-01-01,H6N5,EPI_ISL_30812,A/mallard/Netherlands/11/2007,2007-01-01,2007,2007-01,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2007-01,3818,NA,NA,NA,NA,NA,2007-01-01,n5,n5,profileNA
H6N5.NA.EPI_ISL_243404.anseriformes.netherlands.NA.2007-11-01,H6N5,EPI_ISL_243404,A/mallard_duck/Netherlands/13/2007,2007-11-01,2007.83,2007-11,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2007-44,3818,NA,NA,NA,NA,NA,2007-11-01,n5,n5,profileNA
H6N5.NA.EPI_ISL_174892.anseriformes.bulgaria.NA.2010-04-12,H6N5,EPI_ISL_174892,A/mule_duck/Bulgaria/674/2010,2010-04-12,2010.28,2010-04,anseriformes_domestic,anseriformes,Anatidae,anas platyrhynchos (domestic type),mallard (domestic type),bird,domestic,eastern europe,bulgaria,bgr,42.7584172195881,25.2179149681535,NA,NA,NA,NA,A,2010-15,3677,NA,NA,NA,NA,NA,2010-04-12,n5,n5,profileNA
H12N5.NA.EPI_ISL_329024.anseriformes.netherlands.NA.2008-12-22,H12N5,EPI_ISL_329024,A/mallard_duck/Netherlands/83/2008,2008-12-22,2008.97,2008-12,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2008-52,3818,NA,NA,NA,NA,NA,2008-12-22,n5,n5,profileNA
H6N5.NA.EPI_ISL_63354.anseriformes.france.NA.2007-01-01,H6N5,EPI_ISL_63354,A/Anas_plathyrhynchos/Spain/1252/2007,2007-01-01,2007,2007-01,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,A,2007-01,934,NA,NA,NA,NA,NA,2007-01-01,n5,n5,profileNA
H15N5.NA.EPI_ISL_267231.anseriformes.sweden.NA.2012-12-05,H15N5,EPI_ISL_267231,A/mallard_duck/Sweden/139899/2012,2012-12-05,2012.93,2012-12,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2012-49,3862,NA,NA,NA,NA,NA,2012-12-05,n5,n5,profileNA
