tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N8.2.3.4.4b.EPI_ISL_738049.galliformes.japan.16.2020-12-15,H5N8,EPI_ISL_738049,a/chicken/kagawa/l4t/2020,2020-12-15,2020.95,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,a,2020-51,1440,2.3.4.4b,Asia / Japan / Kagawa / NA / NA,9_1_5_2_1_3_1_2,H5N8/2020/R3_Asia,16,2020-12-15,pb1,pb1,profile001
H5N8.2.3.4.4b.EPI_ISL_738050.galliformes.japan.16.2020-12-15,H5N8,EPI_ISL_738050,a/chicken/kagawa/l6t/2020,2020-12-15,2020.95,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,a,2020-51,1440,2.3.4.4b,Asia / Japan / Kagawa / NA / NA,9_1_5_2_1_3_1_2,H5N8/2020/R3_Asia,16,2020-12-15,pb1,pb1,profile001
H5N8.2.3.4.4b.EPI_ISL_738051.galliformes.japan.16.2020-12-15,H5N8,EPI_ISL_738051,a/chicken/kagawa/l7t/2020,2020-12-15,2020.95,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,a,2020-51,1440,2.3.4.4b,Asia / Japan / Kagawa / NA / NA,9_1_5_2_1_3_1_2,H5N8/2020/R3_Asia,16,2020-12-15,pb1,pb1,profile001
H5N8.2.3.4.4b.EPI_ISL_738052.galliformes.japan.16.2020-12-15,H5N8,EPI_ISL_738052,a/chicken/kagawa/l9t/2020,2020-12-15,2020.95,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,a,2020-51,1440,2.3.4.4b,Asia / Japan / Kagawa / NA / NA,9_1_5_2_1_3_1_2,H5N8/2020/R3_Asia,16,2020-12-15,pb1,pb1,profile001
H5N8.2.3.4.4b.EPI_ISL_738053.galliformes.japan.16.2020-12-18,H5N8,EPI_ISL_738053,a/chicken/miyazaki/h1t/2020,2020-12-18,2020.96,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,a,2020-51,1448,2.3.4.4b,Asia / Japan / Miyazaki / NA / NA,9_1_5_2_1_3_1_2,H5N8/2020/R3_Asia,16,2020-12-18,pb1,pb1,profile001
H5N8.2.3.4.4b.EPI_ISL_738054.galliformes.japan.16.2020-12-18,H5N8,EPI_ISL_738054,a/chicken/miyazaki/h3t/2020,2020-12-18,2020.96,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,a,2020-51,1448,2.3.4.4b,Asia / Japan / Miyazaki / NA / NA,9_1_5_2_1_3_1_2,H5N8/2020/R3_Asia,16,2020-12-18,pb1,pb1,profile001
H5N8.2.3.4.4b.EPI_ISL_738055.galliformes.japan.16.2020-12-18,H5N8,EPI_ISL_738055,a/chicken/miyazaki/h6t/2020,2020-12-18,2020.96,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,a,2020-51,1448,2.3.4.4b,Asia / Japan / Miyazaki / NA / NA,9_1_5_2_1_3_1_2,H5N8/2020/R3_Asia,16,2020-12-18,pb1,pb1,profile001
H5N8.2.3.4.4b.EPI_ISL_738056.galliformes.japan.16.2020-12-18,H5N8,EPI_ISL_738056,a/chicken/miyazaki/h9t/2020,2020-12-18,2020.96,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,a,2020-51,1448,2.3.4.4b,Asia / Japan / Miyazaki / NA / NA,9_1_5_2_1_3_1_2,H5N8/2020/R3_Asia,16,2020-12-18,pb1,pb1,profile001
H5N8.2.3.4.4b.EPI_ISL_738057.galliformes.japan.10.2020-12-18,H5N8,EPI_ISL_738057,a/chicken/tokushima/1t/20200/NA,2020-12-18,2020.96,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tokushima,jp.ts,33.9191788356518,134.242093496813,a,2020-51,1463,2.3.4.4b,Asia / Japan / Tokushima / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-12-18,pb1,pb1,profile001
H5N8.2.3.4.4b.EPI_ISL_738058.galliformes.japan.10.2020-12-18,H5N8,EPI_ISL_738058,a/chicken/tokushima/2t/2020,2020-12-18,2020.96,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tokushima,jp.ts,33.9191788356518,134.242093496813,a,2020-51,1463,2.3.4.4b,Asia / Japan / Tokushima / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-12-18,pb1,pb1,profile001
