Taxon	Longitude
H5N1|2344b|EPI_ISL_13370521|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-06	-2.78687513666638
H5N1|2344b|EPI_ISL_13370560|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-09	-2.78687513666638
H5N1|2344b|EPI_ISL_13370561|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-09	-2.78687513666638
H5N1|2344b|EPI_ISL_13370563|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-10	-2.78687513666638
H5N1|2344b|EPI_ISL_13370564|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-09	-2.78687513666638
H5N1|2344b|EPI_ISL_13370568|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-10	-2.78687513666638
H5N1|2344b|EPI_ISL_13370571|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-12	-2.78687513666638
H5N1|2344b|EPI_ISL_13370605|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-14	-2.78687513666638
H5N1|2344b|EPI_ISL_13370607|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-14	-2.78687513666638
H5N1|2344b|EPI_ISL_13370611|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-15	-2.78687513666638
H5N1|2344b|EPI_ISL_13370614|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-17	-2.78687513666638
H5N1|2344b|EPI_ISL_13370615|accipitriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-17	-2.78687513666638
H5N1|2344b|EPI_ISL_13370617|accipitriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-21	-2.78687513666638
H5N1|2344b|EPI_ISL_13370622|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-29	-2.78687513666638
H5N1|2344b|EPI_ISL_13370623|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-29	-2.78687513666638
H5N1|2344b|EPI_ISL_13370624|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-29	-2.78687513666638
H5N1|2344b|EPI_ISL_13370629|accipitriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-31	-2.78687513666638
H5N1|2344b|EPI_ISL_13370630|accipitriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-31	-2.78687513666638
H5N1|2344b|EPI_ISL_13370693|anseriformes|isle_of_man|2_1_1_1_1_1_1_1|2022-01-14	-4.5394736212416
H5N1|2344b|EPI_ISL_13370697|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-01-23	-2.78687513666638
H5N1|2344b|EPI_ISL_13370698|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-01-26	-2.78687513666638
H5N1|2344b|EPI_ISL_13370699|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-01-26	-2.78687513666638
H5N1|2344b|EPI_ISL_13370702|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-01-27	-2.78687513666638
H5N1|2344b|EPI_ISL_13370707|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-02-21	-2.78687513666638
H5N1|2344b|EPI_ISL_13370892|charadriiformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-03	-2.78687513666638
H5N1|2344b|EPI_ISL_13370895|passeriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-02-05	-2.78687513666638
H5N1|2344b|EPI_ISL_13370897|anseriformes|jersey|2_1_1_1_1_1_1_1|2022-02-22	-2.13245261248515
H5N1|2344b|EPI_ISL_13370922|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-04-06	-2.78687513666638
H5N1|2344b|EPI_ISL_13370925|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-05-05	-2.78687513666638
H5N1|2344b|EPI_ISL_13432610|galliformes|united_states|2_1_1_1_1_1_1_1|2022-03-31	-103.651025114044
H5N1|2344b|EPI_ISL_13432752|galliformes|united_states|2_1_1_1_1_1_1_1|2022-03-31	-103.651025114044
H5N1|2344b|EPI_ISL_13432776|galliformes|united_states|2_1_1_1_1_1_1_1|2022-03-31	-103.651025114044
H5N1|2344b|EPI_ISL_13432788|galliformes|united_states|2_1_1_1_1_1_1_1|2022-04-04	-103.651025114044
H5N1|2344b|EPI_ISL_13432800|anseriformes|united_states|2_1_1_1_1_1_1_1|2022-04-04	-103.651025114044
H5N1|2344b|EPI_ISL_13432838|galliformes|united_states|2_1_1_1_1_1_1_1|2022-04-04	-103.651025114044
H5N1|2344b|EPI_ISL_13432861|galliformes|united_states|2_1_1_1_1_1_1_1|2022-04-04	-103.651025114044
