cluster_profile,cluster_label,.cluster
2_1_1_1_6_1_1_1,H5N1/2022/R40_Asia,3
2_1_1_1_9_1_1_1,H5N1/2022/R57_Europe,3
2_1_2_1_1_1_1_1,H5N1/2021/R8_Europe,1
2_1_4_1_9_1_1_1,H5N1/2022/R17_Europe,3
2_1_6_1_1_4_1_1,H5N5/2021/R5_Europe,1
2_1_6_1_5_1_1_1,H5N1/2021/R15_Asia,3
2_4_1_1_1_1_1_1,H5N1/2022/R13_NAmerica,3
2_6_1_1_1_1_1_1,H5N1/2021/R10_Asia,3
2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,1
2_6_1_1_6_1_1_12,H5N1/2022/R67_Asia,3
2_6_1_1_6_1_1_6,H5N1/2023/R9_Asia,3
2_6_1_1_9_1_1_1,H5N1/2022/R52_Europe,3
2_6_6_1_5_1_1_6,H5N1/2022/R53_Asia,3
2_9_1_1_6_1_1_1,H5N1/2023/R20_Asia,3
3_15_3_1_11_7_1_8,H5N6/2021/R3_Asia,3
3_19_3_1_3_9_1_9,H5N6/2021/R10_Asia,3
3_1_12_1_3_2_1_2,H5N8/2021/R6_Europe,3
3_1_22_1_11_20_1_8,H5N6/2023/R2_Asia,3
3_1_2_1_11_1_1_2,H5N1/2020/R2_Europe,3
3_1_2_1_3_2_1_2,H5N8/2021/R1_Europe,3
3_1_2_1_5_5_1_2,H5N5/2021/R1_Europe,3
3_1_3_1_3_14_1_2,H5N1/2022/R9_Asia,3
3_1_3_1_9_2_1_2,H5N8/2022/R2_Asia,3
3_2_1_1_3_2_1_2,H5N8/2020/R9_Europe,3
3_2_2_1_1_2_1_2,H5N8/2021/R5_Europe,3
3_2_2_1_1_5_1_2,H5N5/2021/R2_Europe,3
3_2_2_1_3_2_1_2,H5N8/2020/R1_Europe,3
3_2_2_1_3_5_1_2,H5N5/2020/R1_Europe,3
3_2_3_1_1_2_1_2,H5N8/2021/R2_Europe,3
3_2_3_1_3_10_1_9,H5N6/2021/R11_Asia,3
3_2_3_1_3_22_1_2,H5N5/2020/R4_Europe,3
3_2_3_1_3_25_1_2,H5N3/2020/R1_Asia,3
3_2_3_1_3_2_1_12,H5N8/2022/R1_Asia,3
3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,2
3_2_3_1_3_2_1_9,H5N8/2021/R11_Asia,3
3_2_3_1_3_2_4_2,H5N8/2019/R5_Africa,3
3_2_3_1_3_5_1_2,H5N5/2020/R2_Europe,3
3_2_3_1_3_7_1_2,H5N6/2021/R7_Asia,3
3_2_3_2_3_3_1_2,H5N8/2020/R3_Europe,3
3_6_3_1_12_12_1_1,H5N2/2022/R4_Asia,3
3_6_3_1_12_12_1_2,H5N2/2022/R5_Asia,3
3_8_3_1_11_7_1_8,H5N6/2021/R8_Asia,3
3_9_6_1_5_23_1_2,H5N2/2020/R2_Europe,3
4_11_1_1_2_1_1_3,H5N1/2023/R4_NAmerica,3
4_11_1_1_7_26_1_1,H5N4/2022/R1_NAmerica,3
4_1_1_1_2_1_1_1,H5N1/2022/R6_NAmerica,1
4_1_1_1_2_1_1_3,H5N1/2022/R44_NAmerica,3
4_1_1_1_7_1_1_1,H5N1/2022/R35_NAmerica,1
4_3_1_1_2_1_1_1,H5N1/2022/R11_NAmerica,3
4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2
4_3_1_1_7_1_1_3,H5N1/2022/R33_NAmerica,3
4_3_8_1_2_1_1_1,H5N1/2023/R23_NAmerica,3
