cluster_profile,cluster_label,class
7_9_5_2_1_3_1_2,H5N8/2020/R16_Asia,minor
8_10_1_1_2_1_1_3,H5N1/2023/R28_NAmerica,minor
8_5_1_1_1_1_1_3,H5N1/2023/R24_NAmerica,minor
8_5_1_1_2_1_1_3,H5N1/2023/R6_NAmerica,moderate
8_5_1_1_7_1_1_3,H5N1/2023/R25_NAmerica,minor
9_1_1_1_1_1_1_1,H5N1/2023/R34_Asia,minor
9_1_1_1_5_1_1_5,H5N1/2022/R68_Asia,minor
9_1_6_1_5_1_1_1,H5N1/2023/R33_Asia,minor
9_1_7_1_5_1_1_1,H5N1/2022/R58_Asia,minor
9_1_7_1_5_1_1_5,H5N1/2022/R60_Asia,minor
9_9_13_1_5_1_1_5,H5N1/2022/R56_Asia,minor
