tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,cluster_profile,cluster_label,clade,collection_tipdate,cluster_number,collection_dateerror
H5N1|2344b|EPI_ISL_17805991|galliformes|peru|4_3_1_1_2_1_1_3|2022-12-03,H5N1,EPI_ISL_17805991,a/chicken/peru/ais0544/2022,2022-12-03,2022-12,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-03,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805994|galliformes|peru|4_3_1_1_2_1_1_3|2022-12-22,H5N1,EPI_ISL_17805994,a/chicken/peru/ais0548/2022,2022-12-22,2022-12,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-22,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805995|galliformes|peru|4_3_1_1_2_1_1_3|2022-12-12,H5N1,EPI_ISL_17805995,a/chicken/peru/ais0550/2022,2022-12-12,2022-12,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-12,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805996|galliformes|peru|4_3_1_1_2_1_1_3|2022-12-22,H5N1,EPI_ISL_17805996,a/chicken/peru/ais0549/2022,2022-12-22,2022-12,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-22,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805997|NA|peru|4_3_1_1_2_1_1_3|2022-11-22,H5N1,EPI_ISL_17805997,a/avian/peru/aisa0446/2022,2022-11-22,2022-11,2022,Aves,NA,NA,NA,aves,FALSE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-22,cluster003,FALSE
H5N1|2344b|EPI_ISL_17805999|carnivora|peru|4_3_1_1_2_1_1_3|2023-02-08,H5N1,EPI_ISL_17805999,a/lion/peru/ais0554/2023,2023-02-08,2023-02,2023,mammalia,carnivora,felidae,panthera leo,lion,FALSE,wild,mammal,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2023-02-08,cluster003,FALSE
H5N1|2344b|EPI_ISL_17806000|pelecaniformes|peru|4_3_1_1_2_1_1_3|2022-11-10,H5N1,EPI_ISL_17806000,a/pelican/peru/ais0538/2022,2022-11-10,2022-11,2022,Aves,pelecaniformes,pelecanidae,pelecanus sp.,pelican sp.,TRUE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-10,cluster003,FALSE
H5N1|2344b|EPI_ISL_17806001|galliformes|peru|4_3_1_1_2_1_1_3|2022-12-12,H5N1,EPI_ISL_17806001,a/chicken/peru/ais0551/2022,2022-12-12,2022-12,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-12,cluster003,FALSE
H5N1|2344b|EPI_ISL_17806003|pelecaniformes|peru|4_3_1_1_2_1_1_3|2022-11-22,H5N1,EPI_ISL_17806003,a/pelican/peru/aisa0464/2022,2022-11-22,2022-11,2022,Aves,pelecaniformes,pelecanidae,pelecanus sp.,pelican sp.,TRUE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-22,cluster003,FALSE
H5N1|2344b|EPI_ISL_16891400|anseriformes|chile|4_3_1_1_2_1_1_3|2022-12-02,H5N1,EPI_ISL_16891400,a/gray_gull/chile/c61947/2022,2022-12-02,2022-12,2022,Aves,anseriformes,anatidae,anser anser,greylag goose,TRUE,wild,anseriformes-wild,south america,chile,chl,-36.352932692973,-71.0631434301439,NA,NA,NA,NA,South America / Chile / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-02,cluster003,FALSE
