# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Aug 20 01:19:29 BST 2024 [seed=1724113168809]
# -overwrite -threads 4 -beagle_thread_count 4 ns_32313212_subsampled_relaxLn_constant.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
700000	-12779.723731892223	-7848.69849994906	-4931.025231943163	2.2832763487589327	2019.8783674868573	70.32483512957677	4.262190229653103	4.7578230197287885	10.100442425181543	0.33951286028374494	0.19737508036981374	0.22506629933140573	0.23804576001503527	0.09709289002256648	0.4784118021152251	0.5871587848762811	1.8256824302474481	0.009244832442652548	0.008831450910237303	0.00835203951221449	0.9732541723371626	-0.01326504315070347	-4931.025231943163	-6655.224660483726	-1182.3957483922964
720000	-12793.49459890098	-7834.03697951024	-4959.457619390741	2.329232677113227	2019.8324111585032	68.08248536170971	4.362163252416921	4.488569991564826	10.676703839610013	0.34223889237834443	0.18605313177889837	0.2239889928816801	0.24771898296107697	0.11721128929233622	0.5712339546825005	0.6484389774793976	1.703122045041215	0.008865541321378316	0.00825760888473376	0.007995849278883882	0.9037584957073608	0.040247251224889855	-4959.457619390741	-6655.224660483726	-1167.560564650031
740000	-12763.035608054954	-7836.085198373797	-4926.950409681156	2.5073178690885793	2019.6543259665277	68.68373403707493	4.102285226053548	8.662227716193438	9.340140567240072	0.32651369386066387	0.2101340331769801	0.22317069196751257	0.2401815809948433	0.19050440046857706	0.349451888185408	0.6006726856831244	1.7986546286337615	0.008785564975630043	0.007951765369232157	0.008142216492019433	0.8730250921091648	-0.032703124487300526	-4926.950409681156	-6655.224660483726	-1169.2274681237316
760000	-12777.217056193524	-7817.701209856104	-4959.515846337421	2.265113784642128	2019.8965300509742	67.38653974800046	4.157697954618873	5.823703368549875	13.0920118737698	0.3366337490031811	0.2035791877548376	0.22027932500865496	0.2395077382333262	0.040035607746898155	0.5034434178627426	0.6465610139911134	1.7068779720177834	0.00862255470480157	0.007367443990145653	0.00814712295527787	0.8286341664192783	-0.005484137065481737	-4959.515846337421	-6655.224660483726	-1150.8680030843313
780000	-12728.152151216957	-7817.577119821759	-4910.575031395198	2.7798771619244054	2019.381766673692	69.977666482539	4.111941987769286	5.253883411640733	9.753615538807002	0.34919574957974314	0.1822234656454873	0.2213461739622153	0.24723461081255405	0.06773488116730667	0.39460355039205486	0.5612102092197344	1.8775795815605414	0.008172403917782256	0.006535677668932188	0.0076661930146771145	0.8022147416590444	-0.006053753397802153	-4910.575031395198	-6655.224660483726	-1151.7528415644852
800000	-12741.08728454015	-7862.378081733183	-4878.709202806968	2.493839010961797	2019.6678048246545	72.24357141245844	4.588156524971268	5.5381631372602085	9.021329422726456	0.3492250961964578	0.164706510437291	0.21593503967915909	0.27013335368709174	0.10970760456454849	0.4842348578916263	0.5852955311428768	1.8294089377142566	0.007640154402968	0.005026977097834947	0.007294574088758148	0.6750038822226148	0.023324939967813603	-4878.709202806968	-6655.224660483726	-1196.395128536591
820000	-12734.969781654792	-7838.765636914023	-4896.204144740769	2.5438883137983863	2019.617755521818	70.92628864187755	4.170390301380535	4.96988318158951	10.79545744395477	0.34506147785491387	0.20229617062093289	0.21930629673244142	0.23333605479171182	0.15030929201968887	0.4736820270409131	0.563341319880962	1.8733173602380861	0.00944849818547766	0.008292044858932838	0.008438400097346187	0.9095182469193381	0.003037076077224369	-4896.204144740769	-6655.224660483726	-1172.1532495062136
840000	-12671.4407215569	-7821.9557048405	-4849.485016716401	3.5357947651825863	2018.6258490704338	74.97646537858508	4.143643521447464	4.958250235453991	9.874237619589266	0.3589421305990656	0.18389811233312164	0.21817298487027512	0.23898677219753753	0.1352168287621839	0.41585904325332024	0.6529912586548579	1.6940174826902945	0.00820200264786058	0.007851820117954206	0.007337688582598354	0.9600407822953134	0.03438055019221413	-4849.485016716401	-6655.224660483726	-1155.993204788474
860000	-12697.435718497012	-7833.766913339455	-4863.6688051575575	2.9176458822913593	2019.243997953325	70.80108610066266	3.937689157870446	5.174330690225653	9.776379621304363	0.3417310682533581	0.1866870456813556	0.22697804907433883	0.24460383699094757	0.053247269775479805	0.5413183640467176	0.5413432722103935	1.9173134555792233	0.007727437775724562	0.006209020911723322	0.007525337633598224	0.7789743855418302	-0.019438185590003043	-4863.6688051575575	-6655.224660483726	-1167.8612427696723
880000	-12654.150952771799	-7790.867687526248	-4863.283265245551	2.9112628486428607	2019.2503809869736	68.59548964258448	4.015440232424276	6.4135981989599635	10.941536075887862	0.34845922404525237	0.18238167903954916	0.22311629220977275	0.24604280470542556	0.01426489972395047	0.42339108892445865	0.5262436218618399	1.9475127562763304	0.008489160784748921	0.007004712355936771	0.00784038315066601	0.8063722774224037	-0.028433072265399668	-4863.283265245551	-6655.224660483726	-1124.5206465628903
