tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,profile,cluster_label,clade,collection_tipdate,cluster_number,collection_dateerror
H5N3|2344b|EPI_ISL_393518|unknown_avian|iran|23_13_23_2_15_21_3_14|2019-03-30,H5N3,EPI_ISL_393518,A/Avian/Iran/38AMA/2019,2019-03-30,2019-03,2019,avian other,unknown avian,NA,NA,NA,NA,wild,other,southern asia,iran,irn,32.5092139996448,54.4699733871232,NA,NA,NA,NA,NA,NA,23_13_23_2_15_21_3_14,H5N3/2019/R1_Asia,2344b,2019-03-30,cluster021,FALSE
H7N3|NA|EPI_ISL_387965|anseriformes|egypt|NA|2016-03-17,H7N3,EPI_ISL_387965,A/northern_shoveler/Egypt/MB-D-686OP/2016,2016-03-17,2016-03,2016,Aves,anseriformes,anatidae,spatula clypeata,northern shoveler,TRUE,wild,anseriformes-wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-17,clusterNA,FALSE
H7N3|NA|EPI_ISL_387964|anseriformes|egypt|NA|2016-03-17,H7N3,EPI_ISL_387964,A/teal/Egypt/MB-D-698OP/2016,2016-03-17,2016-03,2016,Aves,anseriformes,anatidae,anatidae sp. (teal sp.),teal sp.,TRUE,wild,anseriformes-wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-17,clusterNA,FALSE
H2N3|NA|EPI_ISL_333089|anseriformes|bangladesh|NA|2017-01-23,H2N3,EPI_ISL_333089,A/duck/Bangladesh/18D775/2017,2017-01-23,2017-01,2017,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,southern asia,bangladesh,bgd,23.8299093538119,90.2865403636969,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-23,clusterNA,FALSE
H10N3|NA|EPI_ISL_206694|anseriformes|mongolia|NA|2015-08-31,H10N3,EPI_ISL_206694,A/duck/Mongolia/518/2015,2015-08-31,2015-08,2015,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-08-31,clusterNA,FALSE
H2N3|NA|EPI_ISL_209132|anseriformes|mongolia|NA|2015-08-31,H2N3,EPI_ISL_209132,A/duck/Mongolia/655/2015,2015-08-31,2015-08,2015,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-08-31,clusterNA,FALSE
H2N3|NA|EPI_ISL_209128|anseriformes|mongolia|NA|2015-08-31,H2N3,EPI_ISL_209128,A/duck/Mongolia/482/2015,2015-08-31,2015-08,2015,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-08-31,clusterNA,FALSE
H10N3|NA|EPI_ISL_1096153|environment|china|NA|2015-11-19,H10N3,EPI_ISL_1096153,A/Environment/Jiangxi/07531/2015,2015-11-19,2015-11,2015,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,china,chn,36.6848135465548,103.513718494908,jiangxi,cn.jx,27.6016362656629,115.709570895796,NA,NA,NA,NA,NA,2015-11-19,clusterNA,FALSE
H10N3|NA|EPI_ISL_1096151|environment|china|NA|2015-11-19,H10N3,EPI_ISL_1096151,A/Environment/Jiangxi/07518/2015,2015-11-19,2015-11,2015,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,china,chn,36.6848135465548,103.513718494908,jiangxi,cn.jx,27.6016362656629,115.709570895796,NA,NA,NA,NA,NA,2015-11-19,clusterNA,FALSE
H10N3|NA|EPI_ISL_1096150|environment|china|NA|2015-11-19,H10N3,EPI_ISL_1096150,A/Environment/Jiangxi/07527/2015,2015-11-19,2015-11,2015,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,china,chn,36.6848135465548,103.513718494908,jiangxi,cn.jx,27.6016362656629,115.709570895796,NA,NA,NA,NA,NA,2015-11-19,clusterNA,FALSE
NA|NA|EPI_ISL_387335|anseriformes|vietnam|NA|2016-02-10,NA,EPI_ISL_387335,A/duck/Viet_Nam/HN-2633/2016,2016-02-10,2016-02,2016,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,south-eastern asia,vietnam,vnm,16.5422416723933,106.354375350692,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-02-10,clusterNA,FALSE
