cluster_profile,tmrca,host_simplifiedhost
11111111,2019-08-10,anseriformes-wild
11111111,2020-03-19,anseriformes-wild
11111111,2020-03-21,anseriformes-wild
11111111,2020-07-04,anseriformes-wild
11111111,2020-11-03,anseriformes-wild
11111111,2020-03-11,anseriformes-wild
11111111,2020-07-27,other-bird
11111111,2020-01-19,anseriformes-wild
11111111,2020-01-08,anseriformes-wild
11111111,2020-01-11,anseriformes-wild
11111111,2019-11-22,anseriformes-wild
11111111,2020-03-18,galliformes-domestic
11111111,2020-04-02,anseriformes-wild
11111111,2020-05-08,anseriformes-wild
11111111,2020-03-09,anseriformes-wild
11111111,2020-02-07,anseriformes-wild
11111111,2020-08-06,anseriformes-wild
11111111,2019-11-28,anseriformes-wild
11111111,2020-02-01,anseriformes-wild
11111111,2019-05-09,anseriformes-wild
11111111,2020-08-17,other-bird
11111111,2020-01-31,anseriformes-wild
11111111,2020-08-03,anseriformes-wild
11111111,2020-03-16,anseriformes-wild
11111111,2020-09-20,human
11111111,2019-12-22,anseriformes-wild
11111111,2019-05-11,galliformes-domestic
11111111,2020-03-17,anseriformes-wild
11111111,2020-01-10,anseriformes-wild
11111111,2019-11-09,anseriformes-wild
11111111,2017-11-26,anseriformes-wild
11111111,2020-03-28,anseriformes-wild
11111111,2020-11-06,anseriformes-wild
11111111,2020-05-05,anseriformes-wild
11111111,2020-01-13,anseriformes-wild
11111111,2019-10-22,anseriformes-wild
11111111,2020-04-30,anseriformes-wild
11111111,2019-12-28,anseriformes-wild
11111111,2020-12-28,anseriformes-wild
11111111,2020-04-29,anseriformes-wild
11111111,2019-05-29,anseriformes-wild
11111111,2020-03-18,anseriformes-wild
11111111,2020-05-12,anseriformes-wild
11111111,2020-03-11,galliformes-domestic
11111111,2020-01-08,anseriformes-wild
11111111,2020-07-08,anseriformes-wild
11111111,2019-07-10,other-bird
11111111,2019-07-10,other-bird
11111111,2020-05-27,anseriformes-wild
11111111,2020-05-17,other-bird
11111111,2020-09-11,galliformes-domestic
11111111,2020-01-26,other-bird
