tipnames,sequence_isolate,sequence_id,virus_subtype,collection_date,collection_year,host_commonname,host_sciname,host_order,host_family,host_class,collection_country,collection_subdiv1,collection_subdiv1_hanzi,collection_subdiv2,collection_subdiv2_hanzi,geometry,elevation,elevation_class,old_tipnames
H5N8|2344b|EPI_ISL_14836371|anseriformes|china|NA|2020-11-17,EPI_ISL_14836371,Y49,H5N8,2020-11-17,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y49_2020_H5N8
H5N8|2344b|EPI_ISL_14836374|anseriformes|china|NA|2020-11-18,EPI_ISL_14836374,G25,H5N8,2020-11-18,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_G25_2020_H5N8
H5N8|2344b|EPI_ISL_14836376|anseriformes|china|NA|2020-11-18,EPI_ISL_14836376,Y25,H5N8,2020-11-18,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y25_2020_H5N8
H5N8|2344b|EPI_ISL_14822451|anseriformes|china|NA|2021-03-12,EPI_ISL_14822451,P1908,H5N8,2021-03-12,2021,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shannan,山南地区,"c(91.76141, 29.2248399)",3729,high,A_Bar-headed_Goose_Tibet_P1908_2021_H5N8
H5N8|2344b|EPI_ISL_14822452|anseriformes|china|NA|2021-03-12,EPI_ISL_14822452,P1910,H5N8,2021-03-12,2021,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shannan,山南地区,"c(91.76141, 29.2248399)",3729,high,A_Bar-headed_Goose_Tibet_P1910_2021_H5N8
H5N8|2344b|EPI_ISL_14822547|anseriformes|china|NA|2021-03-12,EPI_ISL_14822547,P1987,H5N8,2021-03-12,2021,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shannan,山南地区,"c(91.76141, 29.2248399)",3729,high,A_Bar-headed_Goose_Tibet_P1987_2021_H5N8
H5N8|2344b|EPI_ISL_14822358|anseriformes|china|NA|2021-03-11,EPI_ISL_14822358,P2098,H5N8,2021-03-11,2021,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shannan,山南地区,"c(90.98421, 29.2894699)",3539,high,A_Bar-headed_Goose_Tibet_P2098_2021_H5N8
H5N8|2344b|EPI_ISL_14822426|anseriformes|china|NA|2021-03-11,EPI_ISL_14822426,P2320,H5N8,2021-03-11,2021,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Xizang,西藏自治區|西藏自治区,Shannan,山南地区,"c(90.98421, 29.2894699)",3539,high,A_Bar-headed_Goose_Tibet_P2320_2021_H5N8
H5N8|2344b|EPI_ISL_14819895|anseriformes|china|NA|2020-10-16,EPI_ISL_14819895,BY246,H5N8,2020-10-16,2020,mallard,anas platyrhynchos,anseriformes,anatidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Zhongwei,中卫市,"c(105.69609, 37.25493)",1315,low,A_Mallard_Ningxia_BY246_2020_H5N8
H5N8|2344b|EPI_ISL_14819896|anseriformes|china|NA|2020-10-16,EPI_ISL_14819896,BY247,H5N8,2020-10-16,2020,mallard,anas platyrhynchos,anseriformes,anatidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Zhongwei,中卫市,"c(105.69609, 37.25493)",1315,low,A_Mallard_Ningxia_BY247_2020_H5N8
H5N8|2344b|EPI_ISL_14819897|anseriformes|china|NA|2020-10-16,EPI_ISL_14819897,BY249,H5N8,2020-10-16,2020,mallard,anas platyrhynchos,anseriformes,anatidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Zhongwei,中卫市,"c(105.69609, 37.25493)",1315,low,A_Mallard_Ningxia_BY249_2020_H5N8
