tipnames,sequence_isolate,sequence_id,virus_subtype,collection_date,collection_year,host_commonname,host_sciname,host_order,host_family,host_class,collection_country,collection_subdiv1,collection_subdiv1_hanzi,collection_subdiv2,collection_subdiv2_hanzi,geometry,elevation,elevation_class,old_tipnames
H5N1|2344b|Y5-9|charadriiformes|china|NA|2024-05-16,NA,Y5-9,H5N1,2024-05-16,2024,pallas's gull,ichthyaetus ichthyaetus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_pallas’s_gull_Qinghai_Y5-9_2024-5-16_H5N1
H5N1|2344b|Y6-1|charadriiformes|china|NA|2024-05-16,NA,Y6-1,H5N1,2024-05-16,2024,pallas's gull,ichthyaetus ichthyaetus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_pallas’s_gull_Qinghai_Y6-1_2024-5-16_H5N1
H5N1|2344b|Y7-3|charadriiformes|china|NA|2024-05-27,NA,Y7-3,H5N1,2024-05-27,2024,pallas's gull,ichthyaetus ichthyaetus,charadriiformes,laridae,Aves,China,Qinghai,青海,Haibei Tibetan,海北藏族自治州,"c(100.99504, 36.8969999)",3010,high,A_pallas’s_gull_Qinghai_Y7-3_2024-5-27_H5N1
H5N1|2344b|Z1-6|charadriiformes|china|NA|2024-05-16,NA,Z1-6,H5N1,2024-05-16,2024,brown-headed gull,chroicocephalus brunnicephalus,charadriiformes,laridae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_brown-headed_gull_Qinghai_Z1-6_2024-5-16_H5N1
H5N1|2344b|B1-6|anseriformes|china|NA|2024-05-16,NA,B1-6,H5N1,2024-05-16,2024,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_bar-headed_goose_Qinghai_B1-6_2024-5-16_H5N1
H5N1|2344b|H1-8|charadriiformes|china|NA|2024-05-27,NA,H1-8,H5N1,2024-05-27,2024,black-headed gull,chroicocephalus ridibundus,charadriiformes,laridae,Aves,China,Qinghai,青海,Haibei Tibetan,海北藏族自治州,"c(100.99504, 36.8969999)",3010,high,A_black-headed_gull_Qinghai_H1-8_2024-5-27_H5N1
H5N1|2344b|L2-10|suliformes|china|NA|2024-05-16,NA,L2-10,H5N1,2024-05-16,2024,great cormorant,phalacrocorax carbo,suliformes,phalacrocoracidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_great_cormorant_Qinghai_L2-10_2024-5-16_H5N1
H5N1|2344b|L4-7|suliformes|china|NA|2024-05-16,NA,L4-7,H5N1,2024-05-16,2024,great cormorant,phalacrocorax carbo,suliformes,phalacrocoracidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_great_cormorant_Qinghai_L4-7_2024-5-16_H5N1
H5N1|2344b|L5-6|suliformes|china|NA|2024-05-16,NA,L5-6,H5N1,2024-05-16,2024,great cormorant,phalacrocorax carbo,suliformes,phalacrocoracidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_great_cormorant_Qinghai_L5-6_2024-5-16_H5N1
H5N1|2344b|L8-9|suliformes|china|NA|2024-05-16,NA,L8-9,H5N1,2024-05-16,2024,great cormorant,phalacrocorax carbo,suliformes,phalacrocoracidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_great_cormorant_Qinghai_L8-9_2024-5-16_H5N1
H5N1|2344b|AM1173|podicipediformes|china|NA|2022,NA,AM1173,H5N1,NA,2022,great crested grebe,podiceps cristatus,podicipediformes,podicipedidae,Aves,China,Qinghai,青海,Hainan Tibetan,海南藏族自治州,"c(100.3497895, 36.7599029)",3194,high,A_great_crested_grebe_QinghaiLake_AM1173_2022-07-16_H5N1
H5N8|2344b|Q11|anseriformes|china|NA|2020,NA,Q11,H5N8,NA,2020,bar-headed goose,anser indicus,anseriformes,anatidae,Aves,China,Qinghai,青海,NA,NA,"c(101.7801099, 36.6208699)",2249,medium,A_Bar-headed_Goose_Qinghai_Q11_2020_H5N8
H5N8|2344b|TJ318|NA|china|NA|2020,NA,TJ318,H5N8,NA,2020,aves,NA,NA,NA,Aves,China,Nei Mongol,內蒙古自治區|内蒙古自治区,Xing'an,兴安盟,"c(123.0288, 46.28811)",138,sea-level,A_wild_bird_Tumuji_TJ318_2020_H5N8
H5N8|2344b|Y41|anseriformes|china|NA|2020,NA,Y41,H5N8,NA,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y41_2020_H5N8
