weighted_diff_coeff,median_anseriformes_wild,median_charadriiformes_wild,segment,collection_regionname,season
0,0,0.4515297432060592,np,europe,migrating_autumn
155642.2,0.713970489609812,0.28190636999349294,np,europe,migrating_spring
251995.4,0.3635128714778233,0,np,europe,migrating_autumn
0,0.1807829448055962,0,np,europe,migrating_autumn
1117825,0.332412550414773,0,np,europe,breeding
0,0.04251470075465136,0,np,europe,overwintering
0,0.43554122995332634,0,np,europe,breeding
0,0.26464303611415474,0,np,europe,breeding
50114.58,0.609565641109695,0,np,europe,migrating_autumn
22406.76,0,0,np,asia,breeding
36069.97,0.29291719711225106,0,np,asia,migrating_spring
530.3482,0,0,np,europe,migrating_autumn
0,3.9723353016811505,0,np,europe,migrating_spring
0,0.5197942059763356,0,np,asia,migrating_autumn
96921.76,0.13373703492707278,0,np,asia,migrating_autumn
0,0.2267375179529587,0,np,europe,migrating_autumn
0,0,0,np,europe,migrating_autumn
259725.3,0.5240721690019079,0,np,europe,breeding
109501.2,0.6453032866177075,0.06511525356355996,np,europe,migrating_autumn
58977.36,1.0757928758295812,0,np,europe,migrating_autumn
0,0.9611788797958808,0,np,europe,breeding
113880.3,10.74497852747184,0,np,europe,migrating_autumn
0,10.647628604814123,0,ns,europe,overwintering
0,0,0,ns,europe,migrating_autumn
0,0.437666448123867,0,ns,europe,breeding
51424.18,0.25350326698036696,0,ns,europe,breeding
235716.2,0.09903303369579676,0,ns,europe,breeding
4112.698,0,0,ns,europe,overwintering
0,0,0,ns,europe,migrating_autumn
0,0,0,ns,europe,migrating_autumn
0,0.23743155360809,0,ns,europe,overwintering
53788.85,0.05635968435485239,0,ns,europe,overwintering
69403.46,0.18066582082933635,0,ns,europe,migrating_autumn
168562.5,0.3374673585644068,0.29024599667811657,ns,europe,migrating_autumn
0,0.2824742781981655,0,ns,europe,migrating_autumn
132552.2,0.11329317612700508,0,ns,asia,migrating_spring
0,0.16712891722997725,0.07362365649320424,ns,europe,overwintering
0,0,0,ns,europe,overwintering
0,0.02224605612551045,0.09585298763282424,ns,europe,migrating_autumn
25775.29,0.3246939028891944,0,ns,europe,migrating_autumn
0,0.46055924822864824,0,ns,europe,overwintering
0,0,0,ns,europe,migrating_spring
5795.028,0,0,ns,europe,overwintering
0,0.19800851998338945,0,ns,asia,breeding
61549.64,0,0,ns,asia,breeding
0,0.11142865586372608,0,ns,asia,breeding
141190,0,0,ns,europe,migrating_autumn
0,1.8880082546786736,0,ns,europe,migrating_autumn
1655.09,0.4724179329208198,0,ns,europe,migrating_spring
0,0.5708508088337734,0,ns,europe,overwintering
289828.5,0,1.1214479706905962,ns,europe,overwintering
123969.6,0,0,ns,europe,breeding
322620.5,0.2712929504182391,0,ns,europe,migrating_spring
175640,0.4023048365748352,0,ns,europe,migrating_autumn
160680.9,0.8350367677598456,0,ns,europe,overwintering
36662.01,0.3594012737731038,0,ns,europe,overwintering
4662.793,0,0,ns,europe,breeding
1974.355,0,0,ns,europe,migrating_spring
145864.8,1.1033424649300656,0,ns,europe,migrating_autumn
241506.3,0,0.5078503226396727,ns,europe,migrating_autumn
0,0.06148117445725631,0,ns,europe,migrating_autumn
0,0.40475340707090623,0,ns,europe,migrating_autumn
0,0.14362018254675846,0.16983973053146784,ns,europe,overwintering
312674.5,0.20844274562540477,0,ns,europe,migrating_autumn
0,0.32719938363968026,0,ns,europe,breeding
0,0.1464078260386117,0,ns,europe,breeding
0,0.5020437453633484,0,ns,europe,breeding
97881.67,0.0695611668972056,0.16121273505065403,ns,europe,breeding
209130,0.3939158510666161,0,ns,europe,overwintering
0,0.13621983459305653,0,ns,europe,migrating_autumn
242587.6,0.19353838243034005,0,ns,europe,overwintering
0,0.1612127350506576,0,ns,europe,overwintering
0,0.1935383824303436,0,ns,europe,overwintering
0,0.07616128120572085,0,ns,europe,migrating_spring
0,0.0781349202170567,0,ns,europe,migrating_autumn
0,0.06685459708590002,0,ns,europe,migrating_autumn
0,0.7721958734683341,0,ns,europe,overwintering
183380.1,0.5854746902728216,0.26956376888769285,ns,europe,breeding
280059.9,0,0.28927210077822707,ns,europe,migrating_autumn
0,0,0.02397433869465004,ns,europe,breeding
191400.4,0.10419306670038608,0,ns,europe,breeding
108386.2,0.28915927036656086,0,ns,europe,migrating_autumn
0,0,3.825340604056727,ns,europe,migrating_autumn
0,0,0.10801168485048152,ns,europe,overwintering
20229.75,0,0,pa,europe,overwintering
46395.92,0,4.260563585374618,pa,europe,migrating_autumn
0,3.3734008468872236,0,pa,asia,migrating_autumn
59344.15,0,0,pa,asia,breeding
174528.4,0.1757788452062199,0,pa,europe,migrating_spring
0,0.3509818487788525,0,pa,asia,migrating_spring
92121.57,0.48540784942755977,0,pa,europe,migrating_autumn
90659.85,0.13567986796232034,0,pa,europe,migrating_spring
0,0,0,pa,europe,migrating_spring
0,0.2907103818600305,0,pa,europe,migrating_autumn
216010.4,0.0933791379377027,0.38254807694757353,pa,europe,migrating_spring
11774.26,0.3508405640677985,0,pa,europe,migrating_autumn
0,0.354797119084747,0,pa,europe,migrating_autumn
0,0.5496576979556345,0,pa,europe,migrating_autumn
0,0.4471480982826144,0,pa,europe,breeding
369885.4,0.8903137935548635,0,pa,europe,breeding
0,0.16497108801554283,0,pa,europe,migrating_autumn
51.24422,0.17519301317907665,0,pa,europe,overwintering
0,0.09122226766401909,0,pa,europe,migrating_spring
6433.476,2.4435470547566496,0,pa,asia,overwintering
28602.65,0,0,pa,europe,migrating_autumn
58713.23,2.705642921152009,0.15703856716477205,pa,europe,overwintering
391421.7,3.2231698002833085,0,pa,asia,migrating_autumn
0,0.30016584105287514,2.763221746565609,pa,asia,breeding
215969.8,2.5714589617508956,0,pa,europe,migrating_autumn
0,3.329792627538577,0,pa,europe,breeding
0,2.3325323535659734,0,pa,europe,breeding
0,0,0.873438882890202,pa,europe,migrating_spring
184663.9,0,0.5516632608794865,pa,europe,migrating_autumn
420728.6,0,4.1322008102455925,pa,europe,overwintering
275511.3,0.16061834503284622,0,pa,europe,migrating_autumn
0,0.11810010874483012,0,pa,europe,overwintering
0,1.0941591009057454,0,pa,europe,overwintering
0,0.19861840932323105,0,pa,europe,migrating_autumn
142888.6,1.338702021761403,0,pa,europe,breeding
195891.8,1.1580217491924572,0,pa,europe,migrating_autumn
88654.05,0,0.1893556170019224,pa,europe,overwintering
174314.5,0.9606284418521084,0,pa,europe,overwintering
0,0.2540198530746416,0,pa,europe,migrating_autumn
2062.658,0,0,pa,europe,breeding
818.5949,0,0,pa,europe,migrating_spring
0,4.126517174243755,0,pa,europe,migrating_autumn
92287.91,0.2409606505847579,0,pa,europe,migrating_autumn
0,0.12144586971613336,0,pa,europe,overwintering
40305.29,0.19789030269487107,0,pa,europe,overwintering
0,0.20891382831376504,0,pa,europe,migrating_autumn
875.6087,0.29859238511503605,0,pa,europe,migrating_autumn
17.17344,0.5575903420465744,0,pa,europe,overwintering
0,1.1093990767253885,0,pa,europe,migrating_spring
215537.9,1.336796336999459,0.09854864191651204,pa,europe,breeding
0,2.5256417542515397,0,pa,asia,migrating_spring
0,3.5506826179816313,0,pa,asia,migrating_spring
1944.722,0,0,pa,europe,breeding
0,0.04799365953687662,4.139769180809115,pa,asia,breeding
26399.62,1.358281633023406,0,pa,europe,breeding
0,0.22838670604651412,0,pa,europe,migrating_spring
88293.25,0,0.3699328737564276,pa,europe,migrating_autumn
0,0,0.05628487467379628,pa,europe,migrating_spring
1630.172,0.779665426290677,0,pa,europe,migrating_spring
0,0,0,pa,europe,overwintering
