name,isolate_id,isolate_name,subtype,location,host,date,domestic_status,clade,date_complete,date_frac,date_year,date_year_month,date_yday,date_year_week,location_1,location_2,location_3,location_4,location_5,location_n,location_c1,location_c2,host_meta,host_order,domestic_wild,host_class,cluster_pb2,cluster_pb1,cluster_pa,cluster_ha,cluster_np,cluster_na,cluster_mp,cluster_ns,cluster_profile,profile_lab,cluster_genome
EPI_ISL_china_29|H5N1|a/crested_grebe/qinghai/11-zz-s/2022|2022-07-15|2022.534,EPI_ISL_china_29,A/Crested_grebe/Qinghai/11-ZZ-S/2022,H5N1,Asia / China / Qinghai,crested_grebe,15/07/2022,wild,NA,TRUE,2022.534,2022,2022-07,196,2022.29,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,crested_grebe,Podicipediformes,wild,Avian other,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_30|H5N1|a/brown-headed_gull/qinghai/12-zz-n/2022|2022-07-23|2022.556,EPI_ISL_china_30,A/Brown-headed_gull/Qinghai/12-ZZ-N/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,23/07/2022,wild,NA,TRUE,2022.556,2022,2022-07,204,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_31|H5N1|a/brown-headed_gull/qinghai/01-sz/2022|2022-06-20|2022.466,EPI_ISL_china_31,A/Brown-headed_gull/Qinghai/01-SZ/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,20/06/2022,wild,NA,TRUE,2022.466,2022,2022-06,171,2022.25,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_32|H5N1|a/bar-headed_goose/qinghai/225-2/2022|2022-06-18|2022.46,EPI_ISL_china_32,A/Bar-headed_goose/Qinghai/225-2/2022,H5N1,Asia / China / Qinghai,bar-headed_goose,18/06/2022,wild,NA,TRUE,2022.46,2022,2022-06,169,2022.25,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,bar-headed_goose,Anseriformes,wild,Anseriformes wild,1,1,12,1,1,1,1,1,1_1_12_1_1_1_1_1,NA,19
EPI_ISL_china_33|H5N1|a/brown-headed_gull/qinghai/03-zz-f/2022|2022-07-22|2022.553,EPI_ISL_china_33,A/Brown-headed_gull/Qinghai/03-ZZ-F/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,22/07/2022,wild,NA,TRUE,2022.553,2022,2022-07,203,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_34|H5N1|a/bar-headed_goose/qinghai/shk-1/2022|2022-06-18|2022.46,EPI_ISL_china_34,A/Bar-headed_goose/Qinghai/SHK-1/2022,H5N1,Asia / China / Qinghai,bar-headed_goose,18/06/2022,wild,NA,TRUE,2022.46,2022,2022-06,169,2022.25,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,bar-headed_goose,Anseriformes,wild,Anseriformes wild,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_35|H5N1|a/bar-headed_goose/qinghai/shk-2/2022|2022-06-18|2022.46,EPI_ISL_china_35,A/Bar-headed_goose/Qinghai/SHK-2/2022,H5N1,Asia / China / Qinghai,bar-headed_goose,18/06/2022,wild,NA,TRUE,2022.46,2022,2022-06,169,2022.25,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,bar-headed_goose,Anseriformes,wild,Anseriformes wild,1,1,1,1,45,1,1,1,1_1_1_1_45_1_1_1,NA,19
EPI_ISL_china_36|H5N1|a/bar-headed_goose/qinghai/shk-3/2022|2022-06-18|2022.46,EPI_ISL_china_36,A/Bar-headed_goose/Qinghai/SHK-3/2022,H5N1,Asia / China / Qinghai,bar-headed_goose,18/06/2022,wild,NA,TRUE,2022.46,2022,2022-06,169,2022.25,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,bar-headed_goose,Anseriformes,wild,Anseriformes wild,1,1,1,1,46,1,1,1,1_1_1_1_46_1_1_1,NA,19
EPI_ISL_china_37|H5N1|a/bar-headed_goose/qinghai/shk-4/2022|2022-06-18|2022.46,EPI_ISL_china_37,A/Bar-headed_goose/Qinghai/SHK-4/2022,H5N1,Asia / China / Qinghai,bar-headed_goose,18/06/2022,wild,NA,TRUE,2022.46,2022,2022-06,169,2022.25,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,bar-headed_goose,Anseriformes,wild,Anseriformes wild,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_38|H5N1|a/bar-headed_goose/qinghai/shk-5/2022|2022-06-18|2022.46,EPI_ISL_china_38,A/Bar-headed_goose/Qinghai/SHK-5/2022,H5N1,Asia / China / Qinghai,bar-headed_goose,18/06/2022,wild,NA,TRUE,2022.46,2022,2022-06,169,2022.25,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,bar-headed_goose,Anseriformes,wild,Anseriformes wild,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
