# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Aug 20 03:11:02 BST 2024 [seed=1724119862232]
# -threads 2 -beagle_thread_count 2 n6_northamerica_subsampled_relaxLn_Skygrid6-24_2.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.cutOff	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
7920000	-2385.0260402258036	-158.3422124014668	-2226.6838278243367	5.7399779601739915	2017.6079672453054	7.939233976822455	0.009001823313018194	80.29176951770117	63.370634511165115	49.66318938291494	40.35672966611182	34.0014833777252	29.491077443248386	15.654776564547117	26.78099688759528	7.393733032231026	2.9969705163050695	23.58105745235924	23.950793742481288	4.467284466634385	-6.60246314301276	4.854022305656408	4.495593911706559	-2.6565982636856984	7.006417437891461	6.911023489033015	10.521434822640584	1.1351781640345433	-3.0847602944920336	-8.087759571771864	-10.773547517492634	6.0	13.414885713054009	17.532670519917684	0.33321627468960846	0.21206555798492657	0.2497061702881495	0.2050119970373162	0.10939922551217238	0.6445393923311477	0.4979243075805044	2.004151384838987	0.024873690317701713	0.38214858709711463	0.004499527546505597	2.8329041355675466	-0.07555361579169291	-2226.6838278243367	-166.50434389240348	27.408479320228096
7940000	-2362.221018530293	-134.04302919168606	-2228.177989338607	5.7392934778959335	2017.6086517275835	8.228098586820618	0.007146154730117958	9.42427437669384	-9.982592872152216	19.08501400401274	35.95922002563527	42.287999739899604	46.15620229324567	30.198486913281823	20.562690383337358	16.296772753861642	11.547298089420641	10.610828702773507	10.668413306087912	7.296008036666329	-8.260503719685254	12.013631909404333	22.84090417806747	13.826963988273288	16.704896394888138	13.022097647388435	8.963909086062717	0.0016041711968850514	-3.0809315727300493	-9.594246849121697	-26.731024969270702	6.0	6.330441265324513	9.523922038739155	0.34354434568691383	0.19167873754982004	0.2557791668789167	0.20899774988435038	0.5757079634005424	0.23888401243089297	0.2882950668985689	2.423409866202857	0.016083766106112965	0.21125115807184022	0.00341874659320393	3.3392290312175072	0.4464894390035851	-2228.177989338607	-166.50434389240348	47.002687740496256
7960000	-2369.9428590758375	-140.76828523575278	-2229.1745738400846	5.739134268596927	2017.6088109368825	7.827107860534481	0.01404815493105474	44.86137747157337	30.53332651767171	22.384075154989816	22.996500385356228	25.863549581307158	13.417546609545395	12.028302139131272	23.841424002895486	14.877706822307532	17.89959188194223	9.909167802249167	2.3680035579142453	-0.768780413712757	-5.236393891932653	-9.337686836484187	11.662831799050597	12.585918677687484	13.23670090446386	5.674620434905125	10.797634092154272	-1.0003247551602925	-3.736271901030907	-12.062774996259774	-8.235947060323287	6.0	8.644972881308528	6.858464247253813	0.33528006048892467	0.2090959366987762	0.22580539974793776	0.2298186030643623	0.31469560067044006	1.479775018866776	0.3828718606242386	2.23425627875152	0.021630393347139495	0.18709040895301926	0.00370411693283497	2.4945259091442593	0.44043054601861625	-2229.1745738400846	-166.50434389240348	43.80112356322442
7980000	-2360.270193108094	-125.91730675615506	-2234.352886351939	5.739164412365096	2017.6087807931142	8.178964165102757	0.008637798931370896	-5.858797325769539	-6.919297191233942	-20.008690193057564	-12.600732353507322	-12.459953262430815	-9.58809833576364	-3.360207539281406	-1.9243243689746823	13.08989501158139	0.6991399812684826	8.550971195316187	5.760428984173375	-0.30061144126391115	-8.009643186181712	-12.213296859830443	-11.96404603077315	12.77580063948487	18.350852800410188	7.499531731582396	4.997487416965185	6.76803627362641	-3.829935644670192	-11.191405808217459	0.09956552215948378	6.0	3.7015423229103566	7.299513623879564	0.32524816415457003	0.21692780735306005	0.23831825756412497	0.21950577092824605	0.15159129331436955	1.5419830634598062	0.3379969547748887	2.324006090450221	0.024136731932930956	0.12526533677940108	0.004379473307416714	1.7418431171713	0.1690003689170677	-2234.352886351939	-166.50434389240348	57.03816876156429
8000000	-2375.935652570601	-144.62149868197977	-2231.3141538886216	5.7392677453570755	2017.6086774601224	7.896159955121987	0.0688572303029413	-10.140892984637915	-10.687010875746909	-10.992260087406232	-6.37031383767393	-4.119154579602948	-5.105358820821994	-8.222743721677393	-8.60322880055153	-4.699214683344037	-1.5031753484595198	1.5799980070888926	-0.31010991891883916	-0.03624839479764219	1.410852572590004	0.4373109335222047	-1.4606090464286348	2.041211588456473	0.20504170478042805	7.409484930422032	3.6507160960224945	0.44840434468460955	-4.924437920832087	-9.457964292693108	-5.373725740917016	6.0	3.045436556560288	7.145548605486176	0.3415881397260116	0.19077095432636698	0.23990867319149672	0.22773223275612597	0.09132293177556892	0.7037970828686426	0.5228586307676972	1.954282738464605	0.029595846299566075	0.1508076128236857	0.005672093138875491	2.654599118746617	0.22601235363302508	-2231.3141538886216	-166.50434389240348	39.23038064321375
8020000	-2399.502196643024	-171.84814880754317	-2227.654047835481	5.739415429672718	2017.6085297758066	7.472427236663582	0.004783398979134589	14.263941663552004	-0.8526008725621055	-5.363736248477259	19.326841890099033	25.215470566872142	-8.820957556459328	-12.982604043262862	-25.64229319543757	-12.65434659943742	-6.790182770183142	-1.8880955854524215	11.54216863831944	15.789704781821968	9.992394833207408	22.36832507221183	12.833647401120349	5.595996256087048	9.715546619541222	2.9708746322668955	1.6819313217800707	3.7072946749099738	-4.765306562990043	-8.174571583246847	-5.799855691290604	6.0	3.6383473478549595	8.4543724600419	0.34847617365491373	0.2051024938810924	0.22716895723440808	0.21925237522958696	0.4626167119360384	0.06091817171529566	0.46543298383750964	2.0691340323249823	0.04372279544035949	0.23398038975451937	0.004949194185348953	2.87426669711153	0.5587629830539844	-2227.654047835481	-166.50434389240348	11.224341659496247
8040000	-2443.8421948295677	-210.03733274646373	-2233.804862083104	5.757349850363104	2017.5905953551162	7.5855863011010145	0.003054134776988994	-16.676100501767973	-23.732751225482936	-26.788937637859934	-4.573864535740245	-6.870592966288127	-1.292843003872945	4.897431745232793	8.412834580047885	1.5763471146969086	-1.2511842753789073	-2.5494899926616212	-5.284702039759926	-5.216078737584342	4.222614127224564	20.782408992725866	28.659433486087796	29.44709373941768	22.532901027090727	27.15782057631435	28.07076606400303	4.186558709412491	-3.107998417698001	-4.153910261532588	35.23335400633063	6.0	2.891321820838275	3.7701997907583413	0.3127875023925587	0.1923022579486743	0.2559104227446555	0.2389998169141127	0.46123512828717034	0.2401387707927673	0.4170111380476488	2.1659777239047067	0.028623198537548536	0.3705431140299958	0.0048838290879262905	2.9611403989348015	0.4881577231091218	-2233.804862083104	-166.50434389240348	-29.920148804824606
8060000	-2440.2834711550536	-212.4420327856323	-2227.841438369421	5.754437427121051	2017.5935077783583	8.945214691654481	0.013448945640877718	19.368967262950743	7.303276983257737	19.702343986209595	17.32109378275655	30.670997090855934	32.85313254113064	40.83763625627936	34.52326377609469	39.38225384188875	25.652017955480495	23.80557205028122	14.667024705935637	15.42068851931386	12.522768229381695	11.020104954703811	-2.2369453494028733	-6.081301497685608	2.258717990987687	16.449653634051405	18.162623633833512	12.81406574293656	-2.7037583424699774	-3.371445540825697	7.274947544965656	6.0	3.036131218322815	18.96606134418652	0.34239331566155445	0.19124082257841638	0.24559243778382306	0.2207734239762074	0.09223050995123687	0.6034496691421755	0.3764915978098743	2.247016804380258	0.010670047933098599	0.21340971656603164	0.004528290869905752	2.715383879322583	0.16780703452240717	-2227.841438369421	-166.50434389240348	-31.74788304753875
8080000	-2446.7032190580917	-213.97295230001185	-2232.73026675808	5.802021624721875	2017.5459235807575	8.89668688223702	0.013580026644008515	19.368967262950743	7.303276983257737	19.702343986209595	17.32109378275655	30.670997090855934	32.85313254113064	40.83763625627936	34.52326377609469	39.38225384188875	25.652017955480495	23.80557205028122	14.667024705935637	15.42068851931386	12.522768229381695	11.020104954703811	-2.2369453494028733	-6.081301497685608	2.258717990987687	16.449653634051405	18.162623633833512	12.81406574293656	-2.7037583424699774	-3.371445540825697	7.274947544965656	6.0	8.599472542178985	7.7205903472053805	0.3558028704366147	0.2116482993763009	0.22918939977056296	0.20335943041652269	0.46251488714818645	0.2918073481222618	0.3486070637718315	2.3027858724563446	0.02146680315469693	0.4111561483753064	0.004712094574806786	3.1946030229191775	0.019101365468013533	-2232.73026675808	-166.50434389240348	-30.689036575510265
8100000	-2444.7080363759437	-213.67684501925606	-2231.0311913566875	5.773696524260278	2017.5742486812192	8.927290534537864	0.01807074389345548	19.368967262950743	7.303276983257737	19.702343986209595	17.32109378275655	30.670997090855934	32.85313254113064	40.83763625627936	34.52326377609469	39.38225384188875	25.652017955480495	23.80557205028122	14.667024705935637	15.42068851931386	12.522768229381695	11.020104954703811	-2.2369453494028733	-6.081301497685608	2.258717990987687	16.449653634051405	18.162623633833512	12.81406574293656	-2.7037583424699774	-3.371445540825697	7.274947544965656	6.0	6.389889248555779	8.360575958216925	0.33369889045372625	0.19336680644329524	0.2590119216927721	0.21392238141020758	0.08460130628251883	0.514096324155974	0.4349663365037029	2.1300673269926	0.0183905322087576	0.11613595496852702	0.003877510163119515	2.926130569014379	0.020600573911983788	-2231.0311913566875	-166.50434389240348	-32.19650650821359
8120000	-2422.9733665490985	-197.73980527937198	-2225.2335612697266	5.7599468144643176	2017.5879983910152	8.516662095651833	0.015325476136464067	23.163499547673766	22.71958477029086	13.341195537250599	23.558191885791903	27.55856739848552	11.207126739769159	16.195393641072627	19.016251498791465	24.590965887425774	15.67539108925126	23.187761931601486	11.901952086920721	14.479894812598314	1.1649917548958375	8.029318631058597	-1.0061362304371748	-1.94292006279445	6.032723359384638	6.625088608598027	0.18264020403956183	-5.02185527144006	-4.15603295419809	-2.890713258915431	-1.934148037067034	6.0	5.287215997698617	15.010684456839021	0.3371670534742383	0.20723168980677292	0.22738557935483322	0.2282156773641567	1.4766949467307429	0.6484793719537564	0.352424613260277	2.295150773479453	0.02567581411354188	0.1522669102431469	0.0047210435876200805	2.4163533119749245	0.1765121519765623	-2225.2335612697266	-166.50434389240348	-11.220707529567918
8140000	-2371.5225653933157	-140.47561981838567	-2231.04694557493	5.739529997306805	2017.6084152081726	8.280651917602608	0.12576457934665203	-2.7166940349141395	-1.6668067268130735	-4.187056650954736	-1.7149247033690451	-2.989663378623201	-0.08739789141980481	4.3399425520351365	1.1116467231862572	1.5408153536153484	1.2452446921854792	-0.13535997483310025	0.20960801665267503	1.990427585480466	2.3243195442262214	1.3030060901461995	1.5003661024003931	-1.5183404540659364	0.2696899909824468	0.1256032212662801	-1.5487123161667964	-5.383707812978798	-2.8253025110987813	-7.782144085784375	-6.127560360089594	6.0	11.506950212583604	14.686455658336422	0.3246522029508615	0.20816732604612892	0.2546420435264698	0.21253842747654103	0.046241265890861395	1.4749007117342001	0.38611811241137695	2.227763775177253	0.029656293040013153	0.23502894530426077	0.00354166716567645	2.7542146226597675	-0.036689734636606276	-2231.04694557493	-166.50434389240348	49.014698234833446
8160000	-2377.773444900498	-152.9040046589717	-2224.8694402415263	5.7443488353768775	2017.6035963701024	8.737617368915835	0.11176317164523536	-7.254468022458672	-6.066276051083397	-4.4565630726608045	-3.7085553125609323	-6.941807762501861	-6.801072481937309	-5.4572102026817175	-3.113633794831231	-1.521798682622132	1.7690491196059788	4.540580913043161	7.398722688447289	1.2604240516198204	-2.35705946904354	1.2416975804355583	7.387728191378906	10.114480509594687	9.703590095681216	8.11234264510744	4.3265981863413145	3.4995944656740425	-0.8952903865194759	-6.944216807942496	-9.357813931554292	6.0	7.2312976784240535	10.513339270834852	0.33491650990381816	0.19486331860910464	0.25426399821170564	0.21595617327537278	0.02487880024809927	0.5797861437314483	0.3562009776856568	2.287598044628694	0.019150279873117803	0.0398538414755202	0.005341064180058686	1.8455629117353554	0.4119261249796926	-2224.8694402415263	-166.50434389240348	30.924678559475765
8180000	-2402.182816975252	-166.6643119712848	-2235.518505003967	5.744590846595971	2017.6033543588835	7.776239011370415	0.01588936226622229	37.98566590100402	35.58611324317638	40.59542146159533	37.244944521940816	26.56831389612958	13.279604843799598	14.841969911944968	2.281835440176849	-7.074003329486131	-1.844799893217534	-0.22768893342756213	-5.71653908004364	3.5062947812773313	6.3932628495201325	7.703098638793662	18.349227065057615	10.899174418900444	12.604630749906823	2.4810849833699553	7.159358291356289	2.544349231741373	-2.263639879467752	-6.345177860579015	0.2939826086096442	6.0	2.740129816028129	5.938869490215896	0.33232813314193405	0.1812552334534444	0.27318910036177296	0.21322753304284978	0.24729695513786012	0.6171527259356323	0.3353154202634575	2.3293691594730914	0.023695464314348137	0.1587322053168263	0.003368303474650129	2.7784755276395634	0.43691360930122236	-2235.518505003967	-166.50434389240348	14.61856184038804
8200000	-2411.1934654773518	-181.6176388295714	-2229.5758266477806	5.7469544527656735	2017.6009907527136	7.315785904549659	0.029265614846552105	-7.531236223904859	0.03437907488578107	-2.479388141831777	-4.588443977948577	-10.589178935813115	-12.97859501294213	-14.631147014139234	-15.008202559663358	-11.456945503480622	-7.923580062384499	-1.3021224093271242	0.034650890024839454	-5.321100595104017	3.725457131611342	12.035789015172911	3.790204164937592	-0.5421002409865423	1.1173648234953109	7.029808708805798	11.015858952987333	-1.5292820548043573	-4.756915760577763	-6.398803528771864	-6.371564000631775	6.0	8.068505177235998	12.041398512660159	0.3224865456614442	0.1951461824151669	0.26875926717631454	0.21360800474707567	1.2082974934682056	0.13032590703812663	0.3855863270941092	2.228827345811788	0.027740955868605196	0.2010595546136115	0.006136861830473158	2.3415948535500615	0.16239667418293616	-2229.5758266477806	-166.50434389240348	4.637865256165895
8220000	-2381.9711912606285	-157.27773031141194	-2224.6934609492164	5.740125152523424	2017.607820052956	8.421491915377374	0.058552766560680064	8.837404027574983	13.850028882349157	16.57082337053943	23.004802719951428	15.100773028912648	15.221600483231875	12.241436452125257	8.778613093818725	6.876572943720591	12.024776733265025	11.339216413596077	0.6473852491199263	3.2403188916848658	2.6234787039372556	2.5548490226061515	-0.08705971083144715	-3.5955036853111824	-0.8921892286975572	3.7206063804370846	2.843052729124113	-4.032273399427825	-5.495463494221411	-7.465408692621173	-12.78243681838119	6.0	5.2700528803266575	11.64617809454184	0.34899694124087854	0.201325024171433	0.2402781319140813	0.20939990267360833	0.06523821490236412	0.5587372894059606	0.40126077531873644	2.197478449362532	0.0176851573164345	0.06289989739739171	0.004622475477524982	1.906251937552218	0.12373963813309774	-2224.6934609492164	-166.50434389240348	25.455649423130097
8240000	-2400.732935415534	-174.53784328248705	-2226.195092133047	5.765375137795487	2017.582570067684	9.721253808580112	0.22001022637059925	2.800998391698696	4.57057696721531	5.207755037989054	6.524745077304949	8.303596011660282	11.002284681286552	12.177735672848808	9.578950399386994	14.026766053545662	14.232020761052896	12.31168603895886	11.476205573761677	15.197423870092173	13.573032544731324	10.184571658036868	7.445597423569552	3.798486724210699	2.619280371351545	1.7008255190438482	-1.0769996965425468	-1.4528094795776436	-3.5435276978015318	-5.104983004704104	-5.5780639957732845	6.0	3.7827406227186087	7.838026164226413	0.343744482263362	0.2094458532004379	0.2372308557429338	0.20957880879326737	0.00684340226358764	0.29714287532582995	0.3489935231101461	2.3020129537797125	0.013650532711524253	0.08049724637594789	0.004600703856692052	2.237467027675531	0.39926875891237584	-2226.195092133047	-166.50434389240348	6.967482899356483
8260000	-2427.453578136035	-196.87262511424044	-2230.580953021795	5.835348364984048	2017.5125968404952	10.144465099391992	0.11101288731027432	0.44176274215633526	1.8761445751720411	6.293593809816947	5.953137696896009	7.628692030505422	9.943864588964022	12.28419818953192	12.289134785813346	13.321727470617144	17.479067664424797	16.973295191922638	15.49140053555401	21.36161018179071	17.18109709480009	13.165674952909457	11.13840919638378	12.430705561845446	12.374520838142915	6.889090965303698	3.750322823763216	0.7753585036291788	-4.214696230372677	-2.921547595527072	-5.955687356315503	6.0	2.4500456688971672	10.13791108396398	0.34602743802076125	0.20162500928489213	0.245393681680449	0.20695387101389867	0.5737615349475018	0.32222208811148156	0.32758615308158867	2.344827693836827	0.007125425951877545	0.05720580512224366	0.0027292537846790436	2.6323062797093715	0.3725721068978924	-2230.580953021795	-166.50434389240348	-16.56187315742587
8280000	-2425.170579686357	-200.55356617989514	-2224.617013506462	5.8324404803894625	2017.5155047250898	9.958722061210395	0.013790425552182494	39.38925709139316	36.00243984734547	25.632643856923107	21.983360986311965	12.44154203018297	22.978185996469765	34.82965523842474	36.3075186142295	37.02834066744148	34.965832266494985	29.965613564481693	39.679705626312355	27.994071798057263	29.90657807802222	26.86854605491818	20.766728766718607	9.223344233647449	4.1829086012018495	9.245448971259968	1.0694884774489162	-2.4711453771671614	-4.4761876177887485	-2.945961279173086	2.9000734492123206	6.0	6.76527987168149	11.166571603291107	0.3413186436903179	0.20480337036223376	0.23152060861844398	0.22235737732900546	0.4670470415454799	2.378575787998197	0.2299346800277454	2.5401306399445156	0.012005219767773282	0.06365543398209263	0.0034411442560958305	2.432482577454153	0.4019042902083391	-2224.617013506462	-166.50434389240348	-15.703122315126379
