tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N1.2344b.EPI_ISL_16206845.anseriformes.luxembourg.1_1_2_1_1_1_1_1.2022-12-11	H5N1	2022-12-11	2022.94	2022-12	2022	western europe	luxembourg	49.7760118665671	6.09452944491721	profile001	1_1_2_1_1_1_1_1	dominant	anseriformes	TRUE	anseriformes-wild	5.99508360642885	49.9300394358161
H5N1.2344b.EPI_ISL_15957906.anseriformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-06	H5N1	2022-11-06	2022.85	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	anseriformes	TRUE	anseriformes-domestic	-3.76558183366802	52.3299411115892
H5N1.2344b.EPI_ISL_15957885.anseriformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-05	H5N1	2022-11-05	2022.84	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	anseriformes	TRUE	anseriformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957844.anseriformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-03	H5N1	2022-11-03	2022.84	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	anseriformes	TRUE	anseriformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957684.anseriformes.united_kingdom.1_1_2_1_1_1_1_1.2022-10-22	H5N1	2022-10-22	2022.81	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	anseriformes	TRUE	anseriformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_11922811.anseriformes.poland.1_1_2_1_1_1_1_1.2022-02-05	H5N1	2022-02-05	2022.1	2022-02	2022	eastern europe	poland	52.1141994014432	19.4236724631525	profile001	1_1_2_1_1_1_1_1	dominant	anseriformes	TRUE	anseriformes-wild	19.4236724631525	52.1141994014432
H5N1.2344b.EPI_ISL_16838578.anseriformes.russia.2_1_1_1_1_1_1_1.2021-08-08	H5N1	2021-08-08	2021.6	2021-08	2021	central asia	russia	66.0376616061812	95.7970903417469	profile002	2_1_1_1_1_1_1_1	dominant	anseriformes	TRUE	anseriformes-wild	60.406021972363	54.4531161547399
H5N1.2344b.EPI_ISL_14761291.galliformes.italy.2_1_1_1_1_1_1_1.2022-01-05	H5N1	2022-01-05	2022.01	2022-01	2022	southern europe	italy	42.7080607219025	12.208345049127	profile002	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	12.208345049127	42.7080607219025
H5N1.2344b.EPI_ISL_12512879.charadriiformes.netherlands.1_1_2_1_1_1_1_1.2022-04-06	H5N1	2022-04-06	2022.26	2022-04	2022	western europe	netherlands	52.2573048104135	5.56251311224367	profile001	1_1_2_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	4.87272777813315	52.5811544669078
H5N1.2344b.EPI_ISL_14389133.charadriiformes.belgium.2_1_1_1_1_1_1_1.2022-01-06	H5N1	2022-01-06	2022.01	2022-01	2022	western europe	belgium	50.64017310615	4.66939027974939	profile002	2_1_1_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	4.2420548599892	51.0391095671615
