tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,cluster_label.x,collection_tipdate,collection_dateerror,cluster_profile,cluster_label.y,clade,number_Conti,number_hostType,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Mammal,prop_Mammal,group
H5N1|2344b|EPI_ISL_17655676|environment|japan|2_6_1_1_6_1_1_1|2021-12-20,H5N1,EPI_ISL_17655676,A/environment/Kagoshima/KU-B20/NA,2021-12-20,2021-12,2021,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagoshima,jp.ks,30.9949222722596,130.419711465505,NA,NA,H5N1/2021/R4_Asia,2021-12-20,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17851883|galliformes|japan|2_6_1_1_6_1_1_1|2022-12-01,H5N1,EPI_ISL_17851883,A/chicken/Japan/AZRC-TU-17/2022,2022-12-01,2022-12,2022,galliformes,galliformes,NA,NA,NA,NA,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tottori,jp.tt,35.3595547900768,133.863177571414,NA,NA,H5N1/2021/R4_Asia,2022-12-01,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606814|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-05,H5N1,EPI_ISL_17606814,a/mandarin_duck/korea/h519/2021,2021-11-05,2021-11,2021,Aves,anseriformes,anatidae,aix galericulata,mandarin duck,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,jeollabuk-do,kr.cb,35.7159281817874,127.140659781938,Asia / Korea / JB / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-11-05,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606815|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-09,H5N1,EPI_ISL_17606815,a/mandarin_duck/korea/wa622/2021,2021-11-09,2021-11,2021,Aves,anseriformes,anatidae,aix galericulata,mandarin duck,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,jeollabuk-do,kr.cb,35.7159281817874,127.140659781938,Asia / Korea / JB / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-11-09,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606816|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-15,H5N1,EPI_ISL_17606816,a/mandarin_duck/korea/h552/2021,2021-11-15,2021-11,2021,Aves,anseriformes,anatidae,aix galericulata,mandarin duck,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,gyeonggi-do,kr.kg,37.5315346337798,127.181023197189,Asia / Korea / GG / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-11-15,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606819|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-10,H5N1,EPI_ISL_17606819,a/duck/korea/h535-2/2021,2021-11-10,2021-11,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,chungcheongbuk-do,kr.gb,36.737850075983,127.830446360213,Asia / Korea / CB / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-11-10,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606820|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-11,H5N1,EPI_ISL_17606820,a/duck/korea/h541-3/2021,2021-11-11,2021-11,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,jeollanam-do,kr.cn,34.8733358026855,126.897223705092,Asia / Korea / JN / NA / NA,NA,H5N1/2021/R4_Asia,2021-11-11,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606821|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-16,H5N1,EPI_ISL_17606821,a/duck/korea/h550/2021,2021-11-16,2021-11,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,jeollanam-do,kr.cn,34.8733358026855,126.897223705092,Asia / Korea / JN / NA / NA,NA,H5N1/2021/R4_Asia,2021-11-16,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606822|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-17,H5N1,EPI_ISL_17606822,a/duck/korea/h554/2021,2021-11-17,2021-11,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,jeollanam-do,kr.cn,34.8733358026855,126.897223705092,Asia / Korea / JN / NA / NA,NA,H5N1/2021/R4_Asia,2021-11-17,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606823|galliformes|south_korea|2_6_1_1_6_1_1_1|2021-11-21,H5N1,EPI_ISL_17606823,a/chicken/korea/h559/2021,2021-11-21,2021-11,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,south korea,kor,36.341057964317,127.784630688405,chungcheongbuk-do,kr.gb,36.737850075983,127.830446360213,Asia / Korea / CB / NA / NA,NA,H5N1/2021/R4_Asia,2021-11-21,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606824|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-22,H5N1,EPI_ISL_17606824,a/duck/korea/h560/2021,2021-11-22,2021-11,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,jeollanam-do,kr.cn,34.8733358026855,126.897223705092,Asia / Korea / JN / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-11-22,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606825|galliformes|south_korea|2_6_1_1_6_1_1_1|2021-12-04,H5N1,EPI_ISL_17606825,a/chicken/korea/h589/2021,2021-12-04,2021-12,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,south korea,kor,36.341057964317,127.784630688405,chungcheongnam-do,kr.gn,36.5298116066164,126.847825775926,Asia / Korea / CN / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-12-04,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17606826|galliformes|south_korea|2_6_1_1_6_1_1_1|2021-12-05,H5N1,EPI_ISL_17606826,a/chicken/korea/h590/2021,2021-12-05,2021-12,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,south korea,kor,36.341057964317,127.784630688405,jeollanam-do,kr.cn,34.8733358026855,126.897223705092,Asia / Korea / JN / NA / NA,NA,H5N1/2021/R4_Asia,2021-12-05,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
