tipnames	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_1009705.Anseriformes.south_korea.10.2020-12-01	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8	profile003
H5N8.EPI_ISL_666687.Anseriformes.south_korea.10.2020-10-24	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868	profile003
H5N8.EPI_ISL_17805866.environment.japan.10.2020-11-16	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405655.environment.japan.10.2020-11-16	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805860.environment.japan.10.2020-11-16	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405659.environment.japan.10.2020-11-16	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805839.environment.japan.10.2020-11-16	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405652.environment.japan.10.2020-11-09	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_16405650.environment.japan.10.2020-11-09	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805848.environment.japan.10.2020-11-09	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405660.environment.japan.10.2020-11-23	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805898.environment.japan.10.2020-11-23	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405654.environment.japan.10.2020-11-09	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805857.environment.japan.10.2020-11-09	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16405666.environment.japan.10.2020-11-30	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805870.environment.japan.10.2020-11-30	unknown	environment	eastern asia	36.204824	138.252924	profile003
