tipnames	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_14822756.Anseriformes.china.1.2021-05-19	Anseriformes_wild	Anseriformes	eastern asia	31.2255567	121.4802765	profile002
H5N8.EPI_ISL_5260444.Anseriformes.china.1.2021-03-09	Anseriformes_wild	Anseriformes	eastern asia	29.1557051	113.7157613	profile002
H5N8.EPI_ISL_2713314.Charadriiformes.china.1.2020-11-16	Charadriiformes_wild	Charadriiformes	eastern asia	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_5260417.Charadriiformes.china.1.2021-05-16	Charadriiformes_wild	Charadriiformes	eastern asia	31.2255567	121.4802765	profile002
H5N8.EPI_ISL_2685847.Anseriformes.china.1.2020-11-11	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_625672.Anseriformes.china.1.2020-10-17	Anseriformes_wild	Anseriformes	eastern asia	38.852843	105.7008601	profile002
H5N8.EPI_ISL_1760451.Anseriformes.china.1.2020-11-10	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile002
H5N8.EPI_ISL_2713372.Anseriformes.china.1.2020-11-16	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_2815336.Anseriformes.china.1.2020-10-11	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827	profile002
H5N8.EPI_ISL_1760448.Anseriformes.china.1.2020-11-10	Anseriformes_wild	Anseriformes	eastern asia	34.223126	108.95546	profile002
H5N8.EPI_ISL_1939617.Strigiformes.china.1.2020-11-11	Strigiformes_wild	Strigiformes	eastern asia	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_2685842.Anseriformes.china.1.2020-11-04	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_2685848.Anseriformes.china.1.2020-11-16	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_2685900.Anseriformes.china.1.2020-11-16	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_7458702.Anseriformes.china.1.2021-03	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933	profile002
H5N8.EPI_ISL_5260466.Podicipediformes.china.1.2021-02-22	Podicipediformes_wild	Podicipediformes	eastern asia	36.674306	117.059933	profile002
H5N8.EPI_ISL_7381115.Anseriformes.china.1.2021-06	Anseriformes_wild	Anseriformes	eastern asia	41.7315285	123.2575966	profile002
H5N8.EPI_ISL_7381183.Anseriformes.china.279.2021-04	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933	profile002
H5N8.EPI_ISL_1937891.Anseriformes.china.1.2020-11-10	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_1822593.Anseriformes.china.1.2020-11-10	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile002
H5N8.EPI_ISL_1822595.Anseriformes.china.1.2020-11-10	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile002
H5N8.EPI_ISL_7379464.Anseriformes.china.1.2021-01	Anseriformes_wild	Anseriformes	eastern asia	30.632278	104.086793	profile002
H5N8.EPI_ISL_1760454.Anseriformes.china.1.2020-11-10	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile002
